unique.split,parent.split,host,parent.host
AA45-SPLIT6,unassigned_region-SPLIT1,AA45,unassigned_region
AA8-SPLIT2,AA45-SPLIT6,AA8,AA45
AA45-SPLIT1,AA8-SPLIT2,AA45,AA8
AA45-SPLIT2,AA8-SPLIT2,AA45,AA8
AA8-SPLIT1,AA45-SPLIT2,AA8,AA45
AA45-SPLIT3,AA8-SPLIT2,AA45,AA8
AA45-SPLIT4,AA8-SPLIT2,AA45,AA8
AA45-SPLIT5,AA8-SPLIT2,AA45,AA8
AA45-SPLIT7,unassigned_region-SPLIT1,AA45,unassigned_region
AA20,unassigned_region-SPLIT1,AA20,unassigned_region
AA45-SPLIT8,AA20,AA45,AA20
AA45-SPLIT9,AA20,AA45,AA20
AA8-SPLIT3,unassigned_region-SPLIT1,AA8,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
