unique.split,parent.split,host,parent.host
765-SPLIT1,unassigned_region-SPLIT1,765,unassigned_region
57,765-SPLIT1,57,765
370,unassigned_region-SPLIT1,370,unassigned_region
524,370,524,370
117,524,117,524
461,unassigned_region-SPLIT2,461,unassigned_region
217,unassigned_region-SPLIT2,217,unassigned_region
414,217,414,217
53,117,53,117
377,53,377,53
801,117,801,117
863,524,863,524
171,863,171,863
122,863,122,863
843,unassigned_region-SPLIT3,843,unassigned_region
261,843,261,843
885,unassigned_region-SPLIT4,885,unassigned_region
103,unassigned_region-SPLIT4,103,unassigned_region
286,unassigned_region-SPLIT3,286,unassigned_region
295,unassigned_region-SPLIT3,295,unassigned_region
392,295,392,295
56,295,56,295
42,unassigned_region-SPLIT5,42,unassigned_region
470,42,470,42
84,unassigned_region-SPLIT5,84,unassigned_region
206,unassigned_region-SPLIT6,206,unassigned_region
380,unassigned_region-SPLIT6,380,unassigned_region
147,unassigned_region-SPLIT5,147,unassigned_region
230,122,230,122
264,122,264,122
842,unassigned_region-SPLIT7,842,unassigned_region
194,842,194,842
914,194,914,194
680,194,680,194
593,unassigned_region-SPLIT7,593,unassigned_region
450,593,450,593
245,450,245,450
695,593,695,593
460,695,460,695
50,unassigned_region-SPLIT7,50,unassigned_region
824,50,824,50
170,824,170,824
454,824,454,824
221,50,221,50
316,221,316,221
875,50,875,50
339,unassigned_region-SPLIT1,339,unassigned_region
153,339,153,339
765-SPLIT2,unassigned_region-SPLIT1,765,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,53,unassigned_region,53
unassigned_region-SPLIT3,122,unassigned_region,122
unassigned_region-SPLIT4,261,unassigned_region,261
unassigned_region-SPLIT5,122,unassigned_region,122
unassigned_region-SPLIT6,84,unassigned_region,84
unassigned_region-SPLIT7,863,unassigned_region,863
