dataset,tnet_50_tp,tnet_50_fp,tnet_50_fn,tnet_80_tp,tnet_80_fp,tnet_80_fn,tnet_100_tp,tnet_100_fp,tnet_100_fn
SEIR015_sl1000_mr05_nv10_8,28,12,8,26,9,10,26,6,10
SEIR015_sl1000_mr05_nv10_9,12,2,3,12,1,3,11,1,4
SEIR015_sl250_mr025_nv10_1,14,12,3,14,12,3,13,11,4
SEIR015_sl250_mr025_nv10_10,32,47,27,27,35,32,27,30,32
SEIR015_sl250_mr025_nv10_11,20,22,14,18,19,16,17,17,17
SEIR015_sl250_mr025_nv10_12,29,43,14,29,34,14,29,32,14
SEIR015_sl250_mr025_nv10_13,11,6,5,11,5,5,11,5,5
SEIR015_sl250_mr025_nv10_14,15,29,10,13,24,12,12,24,13
SEIR015_sl250_mr025_nv10_15,40,13,9,38,12,11,38,12,11
SEIR015_sl250_mr025_nv10_16,8,46,19,8,40,19,8,36,19
SEIR015_sl250_mr025_nv10_17,7,6,5,5,6,7,5,6,7
SEIR015_sl250_mr025_nv10_18,8,9,3,8,9,3,8,9,3
SEIR015_sl250_mr025_nv10_19,25,19,12,18,12,19,17,12,20
SEIR015_sl250_mr025_nv10_2,8,24,14,4,20,18,4,20,18
SEIR015_sl250_mr025_nv10_20,26,15,7,26,12,7,26,12,7
SEIR015_sl250_mr025_nv10_3,12,9,3,12,9,3,12,9,3
SEIR015_sl250_mr025_nv10_4,18,8,7,18,8,7,18,8,7
SEIR015_sl250_mr025_nv10_5,5,4,3,5,4,3,5,4,3
SEIR015_sl250_mr025_nv10_6,26,12,9,26,12,9,25,12,10
SEIR015_sl250_mr025_nv10_7,3,6,5,3,6,5,3,6,5
SEIR015_sl250_mr025_nv10_8,23,6,4,19,6,8,19,6,8
SEIR015_sl250_mr025_nv10_9,11,11,4,11,7,4,11,4,4
SEIR015_sl500_mr025_nv10_1,8,4,2,8,4,2,6,4,4
SEIR015_sl500_mr025_nv10_10,38,7,5,37,5,6,35,4,8
SEIR015_sl500_mr025_nv10_11,4,7,4,4,6,4,4,6,4
SEIR015_sl500_mr025_nv10_12,38,20,15,34,14,19,30,10,23
SEIR015_sl500_mr025_nv10_13,16,20,12,16,17,12,16,13,12
SEIR015_sl500_mr025_nv10_14,8,2,1,8,2,1,8,0,1
SEIR015_sl500_mr025_nv10_15,49,10,9,46,9,12,45,8,13
SEIR015_sl500_mr025_nv10_16,10,5,2,10,4,2,10,4,2
SEIR015_sl500_mr025_nv10_17,12,7,2,12,6,2,12,6,2
SEIR015_sl500_mr025_nv10_18,18,6,8,12,5,14,9,5,17
SEIR015_sl500_mr025_nv10_19,8,3,2,8,3,2,7,1,3
SEIR015_sl500_mr025_nv10_2,5,3,3,5,3,3,5,3,3
SEIR015_sl500_mr025_nv10_20,48,21,16,43,11,21,43,11,21
SEIR015_sl500_mr025_nv10_3,30,10,7,27,10,10,25,8,12
SEIR015_sl500_mr025_nv10_4,20,29,21,17,24,24,17,24,24
SEIR015_sl500_mr025_nv10_5,14,1,0,14,1,0,14,1,0
SEIR015_sl500_mr025_nv10_6,15,5,4,15,5,4,15,5,4
SEIR015_sl500_mr025_nv10_7,32,32,30,29,13,33,29,10,33
SEIR015_sl500_mr025_nv10_8,56,24,11,51,18,16,45,17,22
SEIR015_sl500_mr025_nv10_9,7,6,4,7,6,4,7,4,4
SEIR01_sl1000_mr0125_nv10_1,13,5,5,13,4,5,13,4,5
SEIR01_sl1000_mr0125_nv10_10,50,4,4,44,4,10,44,4,10
SEIR01_sl1000_mr0125_nv10_11,12,1,1,12,1,1,12,1,1
SEIR01_sl1000_mr0125_nv10_12,1,4,4,1,3,4,1,3,4
SEIR01_sl1000_mr0125_nv10_13,9,2,1,9,2,1,9,2,1
SEIR01_sl1000_mr0125_nv10_14,28,2,2,28,2,2,28,2,2
SEIR01_sl1000_mr0125_nv10_15,19,5,5,19,4,5,18,3,6
SEIR01_sl1000_mr0125_nv10_16,5,2,2,5,2,2,5,2,2
SEIR01_sl1000_mr0125_nv10_17,10,3,2,10,3,2,10,3,2
SEIR01_sl1000_mr0125_nv10_18,41,7,4,40,6,5,38,4,7
SEIR01_sl1000_mr0125_nv10_19,25,4,5,25,3,5,23,3,7
SEIR01_sl1000_mr0125_nv10_2,24,2,2,24,2,2,24,2,2
SEIR01_sl1000_mr0125_nv10_20,23,3,2,22,1,3,22,1,3
SEIR01_sl1000_mr0125_nv10_3,34,4,4,32,4,6,32,4,6
SEIR01_sl1000_mr0125_nv10_4,18,4,6,18,3,6,17,2,7
SEIR01_sl1000_mr0125_nv10_5,41,7,6,41,5,6,41,5,6
SEIR01_sl1000_mr0125_nv10_6,39,8,9,37,3,11,36,3,12
SEIR01_sl1000_mr0125_nv10_7,35,3,4,35,2,4,35,2,4
SEIR01_sl1000_mr0125_nv10_8,4,2,2,4,2,2,4,2,2
SEIR01_sl1000_mr0125_nv10_9,42,6,5,42,1,5,42,1,5
SEIR01_sl1000_mr025_nv10_1,26,3,2,24,3,4,24,3,4
SEIR01_sl1000_mr025_nv10_10,7,2,2,7,2,2,7,2,2
SEIR01_sl1000_mr025_nv10_11,29,6,6,29,4,6,29,4,6
SEIR01_sl1000_mr025_nv10_12,6,2,2,5,2,3,5,2,3
SEIR01_sl1000_mr025_nv10_13,18,3,2,16,3,4,13,3,7
SEIR01_sl1000_mr025_nv10_14,30,5,4,29,5,5,29,5,5
SEIR01_sl1000_mr025_nv10_15,8,2,2,8,2,2,8,2,2
SEIR01_sl1000_mr025_nv10_16,37,2,5,33,1,9,33,1,9
SEIR01_sl1000_mr025_nv10_17,32,13,13,29,9,16,28,8,17
SEIR01_sl1000_mr025_nv10_18,8,1,1,7,1,2,7,1,2
SEIR01_sl1000_mr025_nv10_19,49,8,10,47,8,12,44,6,15
SEIR01_sl1000_mr025_nv10_2,21,3,1,21,3,1,21,3,1
SEIR01_sl1000_mr025_nv10_20,14,3,3,14,3,3,13,3,4
SEIR01_sl1000_mr025_nv10_3,39,10,10,39,8,10,39,5,10
SEIR01_sl1000_mr025_nv10_4,47,6,5,40,3,12,40,3,12
SEIR01_sl1000_mr025_nv10_5,36,9,8,36,4,8,36,4,8
SEIR01_sl1000_mr025_nv10_6,5,2,2,5,2,2,5,1,2
SEIR01_sl1000_mr025_nv10_7,30,8,10,28,7,12,28,7,12
SEIR01_sl1000_mr025_nv10_8,22,5,5,22,3,5,22,3,5
SEIR01_sl1000_mr025_nv10_9,40,7,7,37,6,10,35,6,12
SEIR01_sl1000_mr025_nv20_1,31,3,1,30,3,2,30,3,2
SEIR01_sl1000_mr025_nv20_10,6,1,3,6,1,3,6,1,3
SEIR01_sl1000_mr025_nv20_11,4,1,1,4,1,1,4,1,1
SEIR01_sl1000_mr025_nv20_12,16,2,2,16,1,2,16,1,2
SEIR01_sl1000_mr025_nv20_13,50,8,8,49,3,9,49,3,9
SEIR01_sl1000_mr025_nv20_14,11,2,2,11,2,2,11,2,2
SEIR01_sl1000_mr025_nv20_15,21,2,2,21,1,2,21,1,2
SEIR01_sl1000_mr025_nv20_16,5,4,2,5,4,2,5,4,2
SEIR01_sl1000_mr025_nv20_17,21,4,4,20,4,5,20,4,5
SEIR01_sl1000_mr025_nv20_18,23,3,3,23,3,3,23,3,3
SEIR01_sl1000_mr025_nv20_19,50,3,3,50,3,3,50,3,3
SEIR01_sl1000_mr025_nv20_2,39,4,3,38,4,4,38,4,4
SEIR01_sl1000_mr025_nv20_20,26,3,5,26,3,5,24,3,7
SEIR01_sl1000_mr025_nv20_3,19,3,2,19,3,2,19,3,2
SEIR01_sl1000_mr025_nv20_4,6,2,2,6,2,2,6,2,2
SEIR01_sl1000_mr025_nv20_5,28,5,5,28,5,5,28,5,5
SEIR01_sl1000_mr025_nv20_6,11,1,0,11,1,0,11,1,0
SEIR01_sl1000_mr025_nv20_7,14,3,3,14,2,3,14,2,3
SEIR01_sl1000_mr025_nv20_8,3,2,2,3,2,2,3,2,2
SEIR01_sl1000_mr025_nv20_9,11,1,1,11,0,1,11,0,1
SEIR01_sl1000_mr025_nv5_1,31,7,10,28,6,13,26,5,15
SEIR01_sl1000_mr025_nv5_10,24,6,9,23,3,10,23,3,10
SEIR01_sl1000_mr025_nv5_11,13,5,6,12,3,7,12,3,7
SEIR01_sl1000_mr025_nv5_12,15,4,4,12,4,7,12,4,7
SEIR01_sl1000_mr025_nv5_13,11,1,1,11,1,1,11,1,1
SEIR01_sl1000_mr025_nv5_14,16,5,4,16,5,4,16,4,4
SEIR01_sl1000_mr025_nv5_15,21,7,6,18,6,9,17,6,10
SEIR01_sl1000_mr025_nv5_16,17,1,1,17,1,1,17,1,1
SEIR01_sl1000_mr025_nv5_17,9,2,2,9,2,2,9,2,2
SEIR01_sl1000_mr025_nv5_18,34,10,13,31,4,16,28,3,19
SEIR01_sl1000_mr025_nv5_19,55,3,3,53,3,5,52,3,6
SEIR01_sl1000_mr025_nv5_2,11,3,5,10,3,6,10,3,6
SEIR01_sl1000_mr025_nv5_20,15,9,9,15,7,9,15,6,9
SEIR01_sl1000_mr025_nv5_3,8,3,2,8,2,2,8,2,2
SEIR01_sl1000_mr025_nv5_4,37,13,13,35,7,15,34,5,16
SEIR01_sl1000_mr025_nv5_5,38,14,13,32,7,19,28,7,23
SEIR01_sl1000_mr025_nv5_6,5,3,3,5,3,3,5,3,3
SEIR01_sl1000_mr025_nv5_7,9,1,1,9,1,1,9,1,1
SEIR01_sl1000_mr025_nv5_8,21,2,2,20,2,3,20,2,3
SEIR01_sl1000_mr025_nv5_9,8,1,1,8,1,1,8,1,1
SEIR01_sl1000_mr05_nv10_1,9,3,4,9,2,4,9,2,4
SEIR01_sl1000_mr05_nv10_10,6,1,1,6,1,1,6,1,1
SEIR01_sl1000_mr05_nv10_11,25,9,7,25,8,7,25,8,7
SEIR01_sl1000_mr05_nv10_12,50,9,8,47,3,11,47,3,11
SEIR01_sl1000_mr05_nv10_13,7,1,1,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_14,34,4,5,32,3,7,27,2,12
SEIR01_sl1000_mr05_nv10_15,13,3,3,13,2,3,13,2,3
SEIR01_sl1000_mr05_nv10_16,21,1,1,21,1,1,21,1,1
SEIR01_sl1000_mr05_nv10_17,20,3,2,20,1,2,20,1,2
SEIR01_sl1000_mr05_nv10_18,49,8,7,48,7,8,48,7,8
SEIR01_sl1000_mr05_nv10_19,4,4,3,4,2,3,4,2,3
SEIR01_sl1000_mr05_nv10_2,8,1,0,8,1,0,8,1,0
SEIR01_sl1000_mr05_nv10_20,46,8,6,43,3,9,43,3,9
SEIR01_sl1000_mr05_nv10_3,20,3,5,20,2,5,20,2,5
SEIR01_sl1000_mr05_nv10_4,8,4,3,8,4,3,8,2,3
SEIR01_sl1000_mr05_nv10_5,16,2,2,16,2,2,16,2,2
SEIR01_sl1000_mr05_nv10_6,35,4,5,32,4,8,31,4,9
SEIR01_sl1000_mr05_nv10_7,38,9,8,37,9,9,37,9,9
SEIR01_sl1000_mr05_nv10_8,7,1,1,7,1,1,7,1,1
SEIR01_sl1000_mr05_nv10_9,24,2,2,24,2,2,22,2,4
SEIR01_sl250_mr025_nv10_1,33,22,12,33,19,12,33,16,12
SEIR01_sl250_mr025_nv10_10,14,5,3,14,5,3,14,5,3
SEIR01_sl250_mr025_nv10_11,13,7,3,13,4,3,13,4,3
SEIR01_sl250_mr025_nv10_12,35,11,8,33,7,10,33,7,10
SEIR01_sl250_mr025_nv10_13,4,3,2,3,3,3,3,3,3
SEIR01_sl250_mr025_nv10_14,23,27,23,23,18,23,23,18,23
SEIR01_sl250_mr025_nv10_15,6,4,1,6,4,1,6,3,1
SEIR01_sl250_mr025_nv10_16,30,34,16,29,31,17,28,30,18
SEIR01_sl250_mr025_nv10_17,4,10,4,4,8,4,3,6,5
SEIR01_sl250_mr025_nv10_18,21,14,11,21,7,11,21,7,11
SEIR01_sl250_mr025_nv10_19,10,4,2,10,4,2,10,4,2
SEIR01_sl250_mr025_nv10_2,10,6,4,9,5,5,9,5,5
SEIR01_sl250_mr025_nv10_20,13,6,5,13,5,5,13,5,5
SEIR01_sl250_mr025_nv10_3,22,11,5,22,11,5,22,11,5
SEIR01_sl250_mr025_nv10_4,13,3,1,13,3,1,13,3,1
SEIR01_sl250_mr025_nv10_5,29,19,12,28,17,13,27,17,14
SEIR01_sl250_mr025_nv10_6,15,13,7,15,11,7,14,11,8
SEIR01_sl250_mr025_nv10_7,12,5,2,12,5,2,12,5,2
SEIR01_sl250_mr025_nv10_8,26,17,8,26,16,8,26,12,8
SEIR01_sl250_mr025_nv10_9,51,20,10,47,15,14,47,15,14
SEIR01_sl500_mr025_nv10_1,5,6,5,5,6,5,5,6,5
SEIR01_sl500_mr025_nv10_10,10,4,4,10,4,4,10,4,4
SEIR01_sl500_mr025_nv10_11,14,5,3,14,5,3,14,5,3
SEIR01_sl500_mr025_nv10_12,46,6,5,43,3,8,43,3,8
SEIR01_sl500_mr025_nv10_13,14,7,6,14,6,6,13,4,7
SEIR01_sl500_mr025_nv10_14,5,2,1,5,2,1,5,2,1
SEIR01_sl500_mr025_nv10_15,50,11,8,46,8,12,46,8,12
SEIR01_sl500_mr025_nv10_16,12,4,3,12,4,3,12,4,3
SEIR01_sl500_mr025_nv10_17,3,4,3,2,4,4,2,4,4
SEIR01_sl500_mr025_nv10_18,3,3,3,3,3,3,3,3,3
SEIR01_sl500_mr025_nv10_19,5,5,3,5,4,3,5,4,3
SEIR01_sl500_mr025_nv10_2,5,3,3,4,3,4,4,3,4
SEIR01_sl500_mr025_nv10_20,27,6,5,22,5,10,20,5,12
SEIR01_sl500_mr025_nv10_3,19,4,2,19,4,2,19,4,2
SEIR01_sl500_mr025_nv10_4,6,2,1,5,2,2,5,2,2
SEIR01_sl500_mr025_nv10_5,4,3,1,4,1,1,4,1,1
SEIR01_sl500_mr025_nv10_6,48,8,5,46,6,7,42,4,11
SEIR01_sl500_mr025_nv10_7,27,10,7,27,7,7,27,6,7
SEIR01_sl500_mr025_nv10_8,14,5,2,14,5,2,14,5,2
SEIR01_sl500_mr025_nv10_9,7,2,2,7,2,2,7,2,2
SIR003_sl1000_mr025_nv10_1,10,4,4,10,3,4,9,2,5
SIR003_sl1000_mr025_nv10_10,11,3,2,9,3,4,9,3,4
SIR003_sl1000_mr025_nv10_11,19,13,11,17,6,13,16,3,14
SIR003_sl1000_mr025_nv10_12,38,10,11,38,4,11,37,2,12
SIR003_sl1000_mr025_nv10_13,4,2,7,4,2,7,4,2,7
SIR003_sl1000_mr025_nv10_14,12,3,3,12,1,3,12,1,3
SIR003_sl1000_mr025_nv10_15,14,7,10,14,6,10,13,5,11
SIR003_sl1000_mr025_nv10_16,12,7,5,11,3,6,11,3,6
SIR003_sl1000_mr025_nv10_17,18,5,5,18,4,5,18,4,5
SIR003_sl1000_mr025_nv10_18,5,0,0,5,0,0,5,0,0
SIR003_sl1000_mr025_nv10_19,17,6,7,17,5,7,17,5,7
SIR003_sl1000_mr025_nv10_2,14,4,5,14,2,5,14,2,5
SIR003_sl1000_mr025_nv10_20,7,2,2,6,2,3,6,2,3
SIR003_sl1000_mr025_nv10_3,21,5,5,19,1,7,19,0,7
SIR003_sl1000_mr025_nv10_4,23,6,8,20,3,11,20,2,11
SIR003_sl1000_mr025_nv10_5,5,2,2,5,1,2,5,1,2
SIR003_sl1000_mr025_nv10_6,17,6,6,15,4,8,15,4,8
SIR003_sl1000_mr025_nv10_7,9,7,7,8,6,8,8,6,8
SIR003_sl1000_mr025_nv10_8,13,2,2,13,2,2,13,2,2
SIR003_sl1000_mr025_nv10_9,19,10,9,17,5,11,16,3,12
SIR003_sl1000_mr05_nv10_1,11,6,6,10,6,7,10,3,7
SIR003_sl1000_mr05_nv10_10,11,2,2,11,2,2,11,2,2
SIR003_sl1000_mr05_nv10_11,22,13,13,22,10,13,22,10,13
SIR003_sl1000_mr05_nv10_12,42,11,13,42,7,13,42,6,13
SIR003_sl1000_mr05_nv10_13,44,9,12,40,7,16,40,5,16
SIR003_sl1000_mr05_nv10_14,10,0,0,10,0,0,10,0,0
SIR003_sl1000_mr05_nv10_15,11,2,2,10,1,3,10,1,3
SIR003_sl1000_mr05_nv10_16,20,6,5,19,5,6,19,4,6
SIR003_sl1000_mr05_nv10_17,7,5,7,6,2,8,6,2,8
SIR003_sl1000_mr05_nv10_18,17,6,6,17,3,6,17,3,6
SIR003_sl1000_mr05_nv10_19,29,9,8,26,9,11,26,9,11
SIR003_sl1000_mr05_nv10_2,14,1,1,14,1,1,14,1,1
SIR003_sl1000_mr05_nv10_20,2,4,7,2,1,7,2,1,7
SIR003_sl1000_mr05_nv10_3,7,2,3,7,2,3,7,1,3
SIR003_sl1000_mr05_nv10_4,11,2,2,11,2,2,11,2,2
SIR003_sl1000_mr05_nv10_5,24,21,22,20,16,26,17,13,29
SIR003_sl1000_mr05_nv10_6,13,8,8,13,6,8,13,3,8
SIR003_sl1000_mr05_nv10_7,19,2,4,19,2,4,19,2,4
SIR003_sl1000_mr05_nv10_8,31,12,15,31,3,15,31,3,15
SIR003_sl1000_mr05_nv10_9,15,5,15,14,3,16,13,2,17
SIR003_sl1000_mr05_nv20_1,27,7,8,25,5,10,24,5,11
SIR003_sl1000_mr05_nv20_10,43,7,9,42,3,10,41,2,11
SIR003_sl1000_mr05_nv20_11,2,1,3,2,0,3,2,0,3
SIR003_sl1000_mr05_nv20_12,37,15,18,37,11,18,37,8,18
SIR003_sl1000_mr05_nv20_13,39,12,15,36,8,18,36,7,18
SIR003_sl1000_mr05_nv20_14,9,1,1,9,0,1,9,0,1
SIR003_sl1000_mr05_nv20_15,14,5,5,13,2,6,13,2,6
SIR003_sl1000_mr05_nv20_16,30,11,13,30,7,13,29,4,14
SIR003_sl1000_mr05_nv20_17,33,13,17,32,9,18,32,8,18
SIR003_sl1000_mr05_nv20_18,27,8,11,26,6,12,26,5,12
SIR003_sl1000_mr05_nv20_19,28,9,9,26,4,11,25,3,12
SIR003_sl1000_mr05_nv20_2,35,12,14,33,8,16,32,7,17
SIR003_sl1000_mr05_nv20_20,6,1,1,6,1,1,6,1,1
SIR003_sl1000_mr05_nv20_3,9,4,4,8,2,5,8,2,5
SIR003_sl1000_mr05_nv20_4,27,5,5,26,3,6,26,3,6
SIR003_sl1000_mr05_nv20_5,16,3,8,16,3,8,16,3,8
SIR003_sl1000_mr05_nv20_6,10,3,4,9,1,5,9,1,5
SIR003_sl1000_mr05_nv20_7,10,3,2,7,3,5,7,3,5
SIR003_sl1000_mr05_nv20_8,17,8,10,17,7,10,17,7,10
SIR003_sl1000_mr05_nv20_9,30,10,10,29,9,11,29,9,11
SIR003_sl1000_mr05_nv5_1,25,11,10,24,7,11,23,6,12
SIR003_sl1000_mr05_nv5_10,33,7,8,31,4,10,29,3,12
SIR003_sl1000_mr05_nv5_11,42,12,20,40,10,22,37,9,25
SIR003_sl1000_mr05_nv5_12,6,0,0,5,0,1,5,0,1
SIR003_sl1000_mr05_nv5_13,10,2,1,10,2,1,10,2,1
SIR003_sl1000_mr05_nv5_14,19,10,10,17,6,12,17,6,12
SIR003_sl1000_mr05_nv5_15,51,12,11,45,9,17,41,6,21
SIR003_sl1000_mr05_nv5_16,4,2,2,4,2,2,4,2,2
SIR003_sl1000_mr05_nv5_17,30,17,18,28,11,20,26,7,22
SIR003_sl1000_mr05_nv5_18,12,4,4,12,3,4,12,3,4
SIR003_sl1000_mr05_nv5_19,18,14,16,17,12,17,17,8,17
SIR003_sl1000_mr05_nv5_2,8,4,4,7,4,5,7,4,5
SIR003_sl1000_mr05_nv5_20,10,3,3,9,2,4,9,2,4
SIR003_sl1000_mr05_nv5_3,6,2,2,6,2,2,6,2,2
SIR003_sl1000_mr05_nv5_4,11,1,3,11,1,3,11,0,3
SIR003_sl1000_mr05_nv5_5,8,1,3,8,0,3,7,0,4
SIR003_sl1000_mr05_nv5_6,5,5,6,5,4,6,5,2,6
