dataset,tnet_50_prec,tnet_50_rec,tnet_50_f1,tnet_80_prec,tnet_80_rec,tnet_80_f1,tnet_100_prec,tnet_100_rec,tnet_100_f1
SEIR01_sl1000_mr0125_nv10_20,0.885,0.92,0.902,0.957,0.88,0.917,0.957,0.88,0.917
SEIR01_sl1000_mr0125_nv10_3,0.895,0.895,0.895,0.889,0.842,0.865,0.889,0.842,0.865
SEIR01_sl1000_mr0125_nv10_4,0.818,0.75,0.783,0.857,0.75,0.8,0.895,0.708,0.791
SEIR01_sl1000_mr0125_nv10_5,0.854,0.872,0.863,0.891,0.872,0.882,0.891,0.872,0.882
SEIR01_sl1000_mr0125_nv10_6,0.83,0.812,0.821,0.925,0.771,0.841,0.923,0.75,0.828
SEIR01_sl1000_mr0125_nv10_7,0.921,0.897,0.909,0.946,0.897,0.921,0.946,0.897,0.921
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.875,0.894,0.884,0.977,0.894,0.933,0.977,0.894,0.933
SEIR01_sl1000_mr025_nv10_1,0.897,0.929,0.912,0.889,0.857,0.873,0.889,0.857,0.873
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.829,0.829,0.829,0.879,0.829,0.853,0.879,0.829,0.853
SEIR01_sl1000_mr025_nv10_12,0.75,0.75,0.75,0.714,0.625,0.667,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv10_13,0.857,0.9,0.878,0.842,0.8,0.821,0.812,0.65,0.722
SEIR01_sl1000_mr025_nv10_14,0.857,0.882,0.87,0.853,0.853,0.853,0.853,0.853,0.853
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.949,0.881,0.914,0.971,0.786,0.868,0.971,0.786,0.868
SEIR01_sl1000_mr025_nv10_17,0.711,0.711,0.711,0.763,0.644,0.699,0.778,0.622,0.691
SEIR01_sl1000_mr025_nv10_18,0.889,0.889,0.889,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv10_19,0.86,0.831,0.845,0.855,0.797,0.825,0.88,0.746,0.807
SEIR01_sl1000_mr025_nv10_2,0.875,0.955,0.913,0.875,0.955,0.913,0.875,0.955,0.913
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824,0.812,0.765,0.788
SEIR01_sl1000_mr025_nv10_3,0.796,0.796,0.796,0.83,0.796,0.812,0.886,0.796,0.839
SEIR01_sl1000_mr025_nv10_4,0.887,0.904,0.895,0.93,0.769,0.842,0.93,0.769,0.842
SEIR01_sl1000_mr025_nv10_5,0.8,0.818,0.809,0.9,0.818,0.857,0.9,0.818,0.857
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714,0.714,0.714,0.714,0.833,0.714,0.769
SEIR01_sl1000_mr025_nv10_7,0.789,0.75,0.769,0.8,0.7,0.747,0.8,0.7,0.747
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815,0.88,0.815,0.846,0.88,0.815,0.846
SEIR01_sl1000_mr025_nv10_9,0.851,0.851,0.851,0.86,0.787,0.822,0.854,0.745,0.795
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.909,0.938,0.923,0.909,0.938,0.923
SEIR01_sl1000_mr025_nv20_10,0.857,0.667,0.75,0.857,0.667,0.75,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889,0.941,0.889,0.914,0.941,0.889,0.914
SEIR01_sl1000_mr025_nv20_13,0.862,0.862,0.862,0.942,0.845,0.891,0.942,0.845,0.891
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.913,0.913,0.913,0.955,0.913,0.933,0.955,0.913,0.933
SEIR01_sl1000_mr025_nv20_16,0.556,0.714,0.625,0.556,0.714,0.625,0.556,0.714,0.625
SEIR01_sl1000_mr025_nv20_17,0.84,0.84,0.84,0.833,0.8,0.816,0.833,0.8,0.816
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.905,0.905,0.905,0.905,0.905,0.905
SEIR01_sl1000_mr025_nv20_20,0.897,0.839,0.867,0.897,0.839,0.867,0.889,0.774,0.828
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884,0.864,0.905,0.884,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848,0.848
SEIR01_sl1000_mr025_nv20_6,0.917,1.0,0.957,0.917,1.0,0.957,0.917,1.0,0.957
SEIR01_sl1000_mr025_nv20_7,0.824,0.824,0.824,0.875,0.824,0.848,0.875,0.824,0.848
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917,1.0,0.917,0.957,1.0,0.917,0.957
SEIR01_sl1000_mr025_nv5_1,0.816,0.756,0.785,0.824,0.683,0.747,0.839,0.634,0.722
SEIR01_sl1000_mr025_nv5_10,0.8,0.727,0.762,0.885,0.697,0.78,0.885,0.697,0.78
SEIR01_sl1000_mr025_nv5_11,0.722,0.684,0.703,0.8,0.632,0.706,0.8,0.632,0.706
SEIR01_sl1000_mr025_nv5_12,0.789,0.789,0.789,0.75,0.632,0.686,0.75,0.632,0.686
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,0.762,0.8,0.78,0.762,0.8,0.78,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv5_15,0.75,0.778,0.764,0.75,0.667,0.706,0.739,0.63,0.68
SEIR01_sl1000_mr025_nv5_16,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944
SEIR01_sl1000_mr025_nv5_17,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.818
SEIR01_sl1000_mr025_nv5_18,0.773,0.723,0.747,0.886,0.66,0.756,0.903,0.596,0.718
SEIR01_sl1000_mr025_nv5_19,0.948,0.948,0.948,0.946,0.914,0.93,0.945,0.897,0.92
SEIR01_sl1000_mr025_nv5_2,0.786,0.688,0.733,0.769,0.625,0.69,0.769,0.625,0.69
SEIR01_sl1000_mr025_nv5_20,0.625,0.625,0.625,0.682,0.625,0.652,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv5_3,0.727,0.8,0.762,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv5_4,0.74,0.74,0.74,0.833,0.7,0.761,0.872,0.68,0.764
SEIR01_sl1000_mr025_nv5_5,0.731,0.745,0.738,0.821,0.627,0.711,0.8,0.549,0.651
SEIR01_sl1000_mr025_nv5_6,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.913,0.913,0.913,0.909,0.87,0.889,0.909,0.87,0.889
SEIR01_sl1000_mr025_nv5_9,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_1,0.75,0.692,0.72,0.818,0.692,0.75,0.818,0.692,0.75
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.735,0.781,0.758,0.758,0.781,0.769,0.758,0.781,0.769
SEIR01_sl1000_mr05_nv10_12,0.847,0.862,0.855,0.94,0.81,0.87,0.94,0.81,0.87
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.895,0.872,0.883,0.914,0.821,0.865,0.931,0.692,0.794
SEIR01_sl1000_mr05_nv10_15,0.812,0.812,0.812,0.867,0.812,0.839,0.867,0.812,0.839
SEIR01_sl1000_mr05_nv10_16,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.87,0.909,0.889,0.952,0.909,0.93,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_18,0.86,0.875,0.867,0.873,0.857,0.865,0.873,0.857,0.865
SEIR01_sl1000_mr05_nv10_19,0.5,0.571,0.533,0.667,0.571,0.615,0.667,0.571,0.615
SEIR01_sl1000_mr05_nv10_2,0.889,1.0,0.941,0.889,1.0,0.941,0.889,1.0,0.941
SEIR01_sl1000_mr05_nv10_20,0.852,0.885,0.868,0.935,0.827,0.878,0.935,0.827,0.878
SEIR01_sl1000_mr05_nv10_3,0.87,0.8,0.833,0.909,0.8,0.851,0.909,0.8,0.851
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696,0.667,0.727,0.696,0.8,0.727,0.762
SEIR01_sl1000_mr05_nv10_5,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.897,0.875,0.886,0.889,0.8,0.842,0.886,0.775,0.827
SEIR01_sl1000_mr05_nv10_7,0.809,0.826,0.817,0.804,0.804,0.804,0.804,0.804,0.804
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.923,0.923,0.923,0.923,0.923,0.923,0.917,0.846,0.88
SEIR01_sl250_mr025_nv10_1,0.6,0.733,0.66,0.635,0.733,0.68,0.673,0.733,0.702
