dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR01_sl1000_mr0125_nv10_1,11,2,7,14,0,4,15,0,3,13,6,5,13,4,5,15,0,3
SEIR01_sl1000_mr0125_nv10_10,37,2,17,48,2,6,50,2,4,50,4,4,44,4,10,44,4,10
SEIR01_sl1000_mr0125_nv10_11,10,0,3,12,0,1,12,0,1,12,1,1,12,1,1,11,1,2
SEIR01_sl1000_mr0125_nv10_12,1,0,4,2,0,3,2,0,3,1,4,4,1,3,4,4,0,1
SEIR01_sl1000_mr0125_nv10_13,9,1,1,7,0,3,8,1,2,9,2,1,9,2,1,10,0,0
SEIR01_sl1000_mr0125_nv10_14,24,1,6,28,1,2,28,1,2,28,2,2,28,2,2,28,1,2
SEIR01_sl1000_mr0125_nv10_15,10,0,14,19,0,5,20,1,4,20,4,4,19,4,5,17,0,7
SEIR01_sl1000_mr0125_nv10_16,2,1,5,4,1,3,4,1,3,5,2,2,5,2,2,5,1,2
SEIR01_sl1000_mr0125_nv10_17,7,4,5,7,2,5,8,4,4,10,3,2,10,3,2,10,2,2
SEIR01_sl1000_mr0125_nv10_18,35,3,10,39,4,6,39,5,6,40,7,5,40,6,5,39,2,6
SEIR01_sl1000_mr0125_nv10_19,20,1,10,23,0,7,26,0,4,25,5,5,25,3,5,27,1,3
SEIR01_sl1000_mr0125_nv10_2,16,1,10,19,0,7,21,1,5,24,2,2,24,2,2,26,0,0
SEIR01_sl1000_mr0125_nv10_20,21,2,4,20,1,5,21,3,4,22,4,3,22,1,3,23,1,2
SEIR01_sl1000_mr0125_nv10_3,22,4,16,34,0,4,37,0,1,32,6,6,32,4,6,34,1,4
SEIR01_sl1000_mr0125_nv10_4,15,1,9,18,3,6,18,4,6,18,6,6,18,3,6,19,3,5
SEIR01_sl1000_mr0125_nv10_5,38,1,9,41,0,6,43,2,4,42,7,5,41,5,6,43,0,4
SEIR01_sl1000_mr0125_nv10_6,28,1,20,42,4,6,42,4,6,42,6,6,37,3,11,37,2,11
SEIR01_sl1000_mr0125_nv10_7,30,1,9,34,0,5,34,0,5,35,4,4,35,2,4,34,0,5
SEIR01_sl1000_mr0125_nv10_8,2,1,4,4,1,2,4,1,2,4,2,2,4,2,2,4,2,2
SEIR01_sl1000_mr0125_nv10_9,30,1,17,46,1,1,46,1,1,46,1,1,42,1,5,41,1,6
SEIR01_sl1000_mr025_nv10_1,16,1,12,23,0,5,23,1,5,26,3,2,24,3,4,26,1,2
SEIR01_sl1000_mr025_nv10_10,7,3,2,7,1,2,7,3,2,7,2,2,7,2,2,8,2,1
SEIR01_sl1000_mr025_nv10_11,22,2,13,30,0,5,33,0,2,29,8,6,29,4,6,33,0,2
SEIR01_sl1000_mr025_nv10_12,5,0,3,5,1,3,5,1,3,6,2,2,5,2,3,5,2,3
SEIR01_sl1000_mr025_nv10_13,4,2,16,15,0,5,15,0,5,16,5,4,16,3,4,18,2,2
SEIR01_sl1000_mr025_nv10_14,22,2,12,28,1,6,31,1,3,30,5,4,29,5,5,30,2,4
SEIR01_sl1000_mr025_nv10_15,6,2,4,7,1,3,7,1,3,8,2,2,8,2,2,8,2,2
SEIR01_sl1000_mr025_nv10_16,24,0,18,38,2,4,38,3,4,36,7,6,33,1,9,35,0,7
