dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SIR01_sl1000_mr075_nv10_1,32,1,25,39,6,18,40,6,17,47,10,10,45,7,12,43,4,14
SIR01_sl1000_mr075_nv10_10,4,0,4,7,0,1,7,0,1,6,2,2,5,1,3,8,0,0
SIR01_sl1000_mr075_nv10_11,5,0,2,5,0,2,5,0,2,7,0,0,7,0,0,6,0,1
SIR01_sl1000_mr075_nv10_12,19,1,11,18,0,12,18,0,12,25,5,5,25,2,5,25,1,5
SIR01_sl1000_mr075_nv10_13,4,0,10,6,4,8,6,4,8,9,5,5,7,2,7,6,0,8
SIR01_sl1000_mr075_nv10_14,4,0,3,4,1,3,4,1,3,4,3,3,4,3,3,5,1,2
SIR01_sl1000_mr075_nv10_15,4,0,2,3,0,3,3,0,3,5,1,1,5,1,1,4,0,2
SIR01_sl1000_mr075_nv10_16,10,1,8,10,3,8,10,5,8,16,3,2,16,3,2,14,4,4
SIR01_sl1000_mr075_nv10_17,32,2,39,39,11,32,39,12,32,52,20,19,41,10,30,37,2,34
SIR01_sl1000_mr075_nv10_18,9,0,2,9,1,2,9,1,2,10,1,1,9,2,2,9,1,2
SIR01_sl1000_mr075_nv10_19,3,0,8,3,4,8,3,4,8,4,7,7,4,1,7,2,1,9
SIR01_sl1000_mr075_nv10_2,6,0,5,5,0,6,5,0,6,6,5,5,6,1,5,7,1,4
SIR01_sl1000_mr075_nv10_20,15,1,15,18,10,12,18,10,12,18,14,12,19,7,11,20,5,10
SIR01_sl1000_mr075_nv10_3,4,0,7,6,5,5,6,5,5,6,5,5,5,3,6,5,1,6
SIR01_sl1000_mr075_nv10_4,18,2,20,26,3,12,26,3,12,31,8,7,29,8,9,34,3,4
SIR01_sl1000_mr075_nv10_5,38,2,26,50,6,14,50,6,14,48,18,16,46,4,18,48,4,16
SIR01_sl1000_mr075_nv10_6,2,0,6,2,1,6,2,1,6,6,2,2,6,2,2,6,2,2
SIR01_sl1000_mr075_nv10_7,15,0,9,22,1,2,22,1,2,20,4,4,20,3,4,22,1,2
SIR01_sl1000_mr075_nv10_8,7,0,9,10,1,6,10,1,6,10,6,6,9,2,7,10,1,6
SIR01_sl1000_mr075_nv10_9,14,0,13,15,5,12,15,6,12,18,9,9,17,3,10,16,3,11
SIR01_sl1000_mr15_nv10_10,18,2,14,17,5,15,18,5,14,24,8,8,21,4,11,19,3,13
SIR01_sl1000_mr15_nv10_11,6,0,6,6,0,6,6,0,6,8,4,4,7,1,5,7,0,5
SIR01_sl1000_mr15_nv10_12,9,0,15,13,4,11,13,4,11,17,7,7,16,3,8,13,4,11
SIR01_sl1000_mr15_nv10_14,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0
SIR01_sl1000_mr15_nv10_15,9,2,29,21,10,17,23,10,15,21,18,17,17,8,21,20,6,18
SIR01_sl1000_mr15_nv10_16,4,0,3,4,0,3,6,0,1,6,1,1,6,1,1,6,1,1
SIR01_sl1000_mr15_nv10_17,11,0,9,16,0,4,16,0,4,18,2,2,16,1,4,16,0,4
SIR01_sl1000_mr15_nv10_18,39,0,30,46,13,23,46,13,23,48,23,21,44,8,25,44,4,25
SIR01_sl1000_mr15_nv10_19,6,0,3,6,0,3,6,0,3,8,1,1,8,1,1,8,0,1
SIR01_sl1000_mr15_nv10_20,6,3,3,7,1,2,7,2,2,7,2,2,7,2,2,7,2,2
SIR01_sl1000_mr15_nv10_3,40,3,19,47,4,12,47,4,12,45,16,14,45,6,14,47,4,12
SIR01_sl1000_mr15_nv10_5,6,0,4,7,0,3,7,0,3,9,1,1,8,0,2,7,0,3
SIR01_sl1000_mr15_nv10_6,2,1,5,5,0,2,5,0,2,7,0,0,7,0,0,5,0,2
SIR01_sl1000_mr15_nv10_7,27,1,23,34,3,16,34,4,16,34,16,16,32,6,18,34,2,16
SIR01_sl1000_mr15_nv10_8,6,0,4,3,1,7,3,1,7,7,3,3,6,0,4,8,1,2
SIR01_sl1000_mr15_nv10_9,6,0,15,12,3,9,12,3,9,15,6,6,14,7,7,14,6,7
SIR01_sl1000_mr15_nv20_1,16,2,16,25,4,7,25,4,7,23,9,9,22,2,10,22,3,10
SIR01_sl1000_mr15_nv20_10,8,0,5,8,2,5,8,2,5,10,3,3,10,3,3,9,0,4
SIR01_sl1000_mr15_nv20_11,44,3,15,47,6,12,48,7,11,49,11,10,48,7,11,45,5,14
SIR01_sl1000_mr15_nv20_12,7,0,8,7,1,8,8,1,7,9,6,6,9,1,6,8,0,7
SIR01_sl1000_mr15_nv20_13,4,0,2,4,0,2,4,0,2,5,1,1,5,1,1,5,1,1
SIR01_sl1000_mr15_nv20_14,2,2,3,2,2,3,2,2,3,2,3,3,2,3,3,2,2,3
SIR01_sl1000_mr15_nv20_15,4,2,10,7,1,7,7,1,7,6,8,8,5,6,9,7,1,7
SIR01_sl1000_mr15_nv20_16,17,0,4,14,1,7,15,1,6,19,2,2,18,1,3,16,1,5
SIR01_sl1000_mr15_nv20_17,8,0,6,9,1,5,9,1,5,10,4,4,10,4,4,9,1,5
SIR01_sl1000_mr15_nv20_18,25,0,5,23,1,7,24,1,6,28,2,2,26,1,4,25,1,5
SIR01_sl1000_mr15_nv20_19,39,2,12,40,1,11,40,1,11,43,8,8,43,2,8,42,2,9
SIR01_sl1000_mr15_nv20_2,4,0,6,4,0,6,4,0,6,6,4,4,4,1,6,5,1,5
SIR01_sl1000_mr15_nv20_20,9,0,5,11,1,3,11,1,3,11,3,3,11,3,3,12,1,2
SIR01_sl1000_mr15_nv20_3,2,0,3,2,0,3,2,0,3,4,1,1,2,0,3,2,0,3
SIR01_sl1000_mr15_nv20_4,36,1,33,50,11,19,51,11,18,52,17,17,50,8,19,47,4,22
SIR01_sl1000_mr15_nv20_5,5,0,5,6,2,4,6,2,4,7,3,3,7,3,3,7,1,3
SIR01_sl1000_mr15_nv20_6,5,0,3,6,0,2,6,0,2,7,1,1,7,1,1,7,1,1
SIR01_sl1000_mr15_nv20_7,17,0,11,21,0,7,21,0,7,22,6,6,21,5,7,21,0,7
SIR01_sl1000_mr15_nv20_8,33,1,15,38,1,10,38,1,10,37,11,11,36,4,12,38,1,10
SIR01_sl1000_mr15_nv20_9,16,1,10,19,3,7,19,3,7,18,9,8,17,2,9,16,3,10
SIR01_sl1000_mr15_nv5_1,13,1,15,15,5,13,16,5,12,17,11,11,17,5,11,15,1,13
SIR01_sl1000_mr15_nv5_10,8,0,3,8,0,3,8,0,3,8,3,3,8,0,3,8,0,3
SIR01_sl1000_mr15_nv5_11,2,0,7,3,1,6,3,1,6,6,3,3,5,2,4,6,2,3
SIR01_sl1000_mr15_nv5_12,12,2,11,10,7,13,11,8,12,11,12,12,11,7,12,11,1,12
SIR01_sl1000_mr15_nv5_13,9,2,7,9,2,7,10,2,6,13,3,3,13,3,3,13,3,3
SIR01_sl1000_mr15_nv5_14,10,2,12,15,3,7,15,3,7,16,7,6,12,4,10,15,3,7
SIR01_sl1000_mr15_nv5_15,24,1,21,33,7,12,33,7,12,32,13,13,29,10,16,32,5,13
SIR01_sl1000_mr15_nv5_16,4,3,5,2,0,7,2,1,7,4,5,5,3,1,6,4,0,5
SIR01_sl1000_mr15_nv5_17,5,0,3,4,0,4,5,0,3,7,1,1,7,1,1,7,1,1
SIR01_sl1000_mr15_nv5_18,4,0,5,5,2,4,5,2,4,6,3,3,6,0,3,7,1,2
SIR01_sl1000_mr15_nv5_19,7,0,14,13,4,8,13,4,8,14,7,7,11,6,10,12,2,9
SIR01_sl1000_mr15_nv5_2,13,2,22,22,6,13,23,6,12,23,12,12,20,7,15,19,1,16
SIR01_sl1000_mr15_nv5_20,6,1,11,11,2,6,11,2,6,12,5,5,10,2,7,12,2,5
SIR01_sl1000_mr15_nv5_3,1,1,8,3,2,6,3,2,6,4,5,5,4,2,5,4,4,5
SIR01_sl1000_mr15_nv5_4,7,0,18,13,2,12,13,2,12,8,17,17,11,6,14,14,1,11
SIR01_sl1000_mr15_nv5_5,3,0,8,4,3,7,4,3,7,8,3,3,7,4,4,4,1,7
SIR01_sl1000_mr15_nv5_6,11,0,12,11,2,12,11,2,12,12,11,11,11,2,12,11,1,12
SIR01_sl1000_mr15_nv5_7,4,0,4,3,0,5,3,1,5,3,5,5,3,0,5,3,0,5
SIR01_sl1000_mr15_nv5_8,2,0,6,2,3,6,2,3,6,3,5,5,3,2,5,3,0,5
SIR01_sl1000_mr15_nv5_9,19,1,28,28,7,19,28,7,19,29,18,18,25,6,22,26,4,21
SIR01_sl1000_mr3_nv10_1,16,1,14,21,7,9,21,7,9,26,5,4,21,4,9,20,5,10
SIR01_sl1000_mr3_nv10_10,6,0,3,7,1,2,7,1,2,9,0,0,7,0,2,7,1,2
SIR01_sl1000_mr3_nv10_11,25,1,32,37,6,20,38,6,19,39,18,18,36,2,21,38,2,19
SIR01_sl1000_mr3_nv10_12,19,4,15,23,3,11,24,3,10,22,13,12,22,6,12,25,3,9
SIR01_sl1000_mr3_nv10_13,20,1,16,25,4,11,25,4,11,23,13,13,21,6,15,24,1,12
SIR01_sl1000_mr3_nv10_14,18,2,10,23,0,5,24,0,4,23,6,5,24,3,4,27,0,1
SIR01_sl1000_mr3_nv10_15,2,1,7,4,0,5,4,0,5,5,4,4,3,1,6,4,1,5
SIR01_sl1000_mr3_nv10_16,20,1,12,24,2,8,25,2,7,26,6,6,23,3,9,24,2,8
SIR01_sl1000_mr3_nv10_17,6,1,4,6,1,4,6,1,4,8,2,2,8,2,2,6,2,4
SIR01_sl1000_mr3_nv10_18,14,0,10,18,2,6,18,2,6,19,5,5,18,4,6,17,0,7
SIR01_sl1000_mr3_nv10_19,13,0,17,13,12,17,13,12,17,15,16,15,13,4,17,12,1,18
SIR01_sl1000_mr3_nv10_2,5,0,4,7,2,2,7,2,2,7,2,2,7,2,2,7,2,2
SIR01_sl1000_mr3_nv10_20,5,0,7,8,3,4,8,3,4,10,2,2,8,2,4,7,3,5
SIR01_sl1000_mr3_nv10_3,11,2,9,16,3,4,16,4,4,14,6,6,14,6,6,15,2,5
SIR01_sl1000_mr3_nv10_4,5,0,7,5,0,7,5,0,7,11,1,1,9,1,3,8,1,4
SIR01_sl1000_mr3_nv10_5,15,1,13,18,5,10,19,5,9,21,7,7,20,5,8,16,3,12
SIR01_sl1000_mr3_nv10_6,25,3,29,27,19,27,29,21,25,30,24,24,30,13,24,28,5,26
SIR01_sl1000_mr3_nv10_7,10,0,13,13,5,10,13,5,10,15,8,8,16,6,7,12,1,11
SIR01_sl1000_mr3_nv10_8,6,0,4,6,0,4,6,0,4,7,3,3,6,0,4,6,0,4
SIR01_sl1000_mr3_nv10_9,15,0,14,18,2,11,18,2,11,18,11,11,16,1,13,18,1,11
SIR01_sl250_mr15_nv10_1,8,5,9,7,0,10,9,1,8,10,9,7,9,4,8,9,0,8
