dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl500_mr025_nv10_1,5,1,5,6,0,4,6,3,4,8,4,2,8,4,2,8,3,2
SEIR015_sl500_mr025_nv10_10,23,3,20,38,1,5,39,3,4,39,6,4,37,5,6,37,1,6
SEIR015_sl500_mr025_nv10_11,1,3,7,0,0,8,3,2,5,5,6,3,4,6,4,4,0,4
SEIR015_sl500_mr025_nv10_12,20,8,33,44,0,9,45,2,8,35,28,18,34,14,19,37,1,16
SEIR015_sl500_mr025_nv10_13,11,14,17,18,0,10,18,7,10,17,22,11,16,17,12,22,0,6
SEIR015_sl500_mr025_nv10_14,7,0,2,1,0,8,2,0,7,8,2,1,8,2,1,7,1,2
SEIR015_sl500_mr025_nv10_15,30,3,28,50,0,8,52,1,6,45,14,13,46,9,12,42,0,16
SEIR015_sl500_mr025_nv10_16,5,4,7,5,0,7,7,2,5,10,6,2,10,4,2,9,0,3
SEIR015_sl500_mr025_nv10_17,10,3,4,7,0,7,8,3,6,12,7,2,12,6,2,9,0,5
SEIR015_sl500_mr025_nv10_18,6,2,20,23,0,3,23,1,3,17,10,9,12,5,14,18,1,8
SEIR015_sl500_mr025_nv10_19,7,2,3,5,0,5,6,1,4,8,3,2,8,3,2,9,0,1
SEIR015_sl500_mr025_nv10_2,2,2,6,4,0,4,5,1,3,5,3,3,5,3,3,5,2,3
SEIR015_sl500_mr025_nv10_20,34,9,30,49,0,15,53,6,11,51,20,13,43,11,21,45,0,19
SEIR015_sl500_mr025_nv10_3,17,5,20,15,5,22,15,11,22,26,15,11,27,10,10,17,1,20
SEIR015_sl500_mr025_nv10_4,11,15,30,20,1,21,31,3,10,21,32,20,17,24,24,32,2,9
SEIR015_sl500_mr025_nv10_5,8,0,6,11,0,3,11,1,3,14,1,0,14,1,0,14,1,0
SEIR015_sl500_mr025_nv10_6,15,4,4,10,0,9,13,1,6,15,5,4,15,5,4,17,0,2
SEIR015_sl500_mr025_nv10_7,25,9,37,37,1,25,38,10,24,35,36,27,29,13,33,34,2,28
SEIR015_sl500_mr025_nv10_8,24,21,43,35,0,32,40,12,27,54,29,13,51,18,16,49,1,18
SEIR015_sl500_mr025_nv10_9,7,2,4,5,0,6,7,4,4,7,6,4,7,6,4,7,3,4
SEIR01_sl500_mr025_nv10_1,5,3,5,5,0,5,5,0,5,5,6,5,5,6,5,6,1,4
SEIR01_sl500_mr025_nv10_10,6,3,8,10,0,4,10,0,4,10,4,4,10,4,4,10,4,4
SEIR01_sl500_mr025_nv10_11,11,3,6,11,1,6,13,2,4,14,5,3,14,5,3,15,3,2
SEIR01_sl500_mr025_nv10_12,38,3,13,44,3,7,45,5,6,48,4,3,43,3,8,46,3,5
SEIR01_sl500_mr025_nv10_13,10,2,10,14,0,6,18,0,2,14,8,6,14,6,6,16,0,4
SEIR01_sl500_mr025_nv10_14,5,0,1,3,0,3,3,1,3,5,2,1,5,2,1,4,1,2
SEIR01_sl500_mr025_nv10_15,41,4,17,48,0,10,51,1,7,48,13,10,46,8,12,48,1,10
SEIR01_sl500_mr025_nv10_16,9,1,6,10,1,5,11,2,4,12,4,3,12,4,3,12,2,3
SEIR01_sl500_mr025_nv10_17,2,1,4,2,1,4,2,1,4,2,5,4,2,4,4,2,2,4
SEIR01_sl500_mr025_nv10_18,3,1,3,3,1,3,4,1,2,3,3,3,3,3,3,4,2,2
SEIR01_sl500_mr025_nv10_19,6,4,2,3,1,5,5,2,3,5,5,3,5,4,3,6,2,2
SEIR01_sl500_mr025_nv10_2,4,1,4,3,0,5,4,2,4,4,4,4,4,3,4,6,1,2
SEIR01_sl500_mr025_nv10_20,14,3,18,25,5,7,25,5,7,23,9,9,22,5,10,24,2,8
SEIR01_sl500_mr025_nv10_3,18,2,3,16,1,5,18,4,3,19,4,2,19,4,2,17,2,4
SEIR01_sl500_mr025_nv10_4,5,0,2,4,1,3,5,1,2,6,2,1,5,2,2,5,1,2
SEIR01_sl500_mr025_nv10_5,3,0,2,2,0,3,4,0,1,4,3,1,4,1,1,2,0,3
SEIR01_sl500_mr025_nv10_6,38,3,15,45,1,8,49,2,4,49,9,4,46,6,7,46,1,7
