dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR003_sl1000_mr05_nv10_13,0.968,0.536,0.69,0.796,0.696,0.743,0.784,0.714,0.748,0.821,0.821,0.821,0.851,0.714,0.777,0.87,0.714,0.784
SIR003_sl1000_mr05_nv10_14,1,0.7,0.824,1,0.9,0.947,1,0.9,0.947,1,1,1,1,1,1,1,0.9,0.947
SIR003_sl1000_mr05_nv10_15,1,0.615,0.762,0.9,0.692,0.783,0.9,0.692,0.783,0.846,0.846,0.846,0.909,0.769,0.833,0.909,0.769,0.833
SIR003_sl1000_mr05_nv10_16,0.938,0.6,0.732,0.783,0.72,0.75,0.783,0.72,0.75,0.808,0.84,0.824,0.792,0.76,0.776,0.85,0.68,0.756
SIR003_sl1000_mr05_nv10_17,0.833,0.357,0.5,0.75,0.429,0.545,0.75,0.429,0.545,0.5,0.5,0.5,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.933,0.609,0.737,0.938,0.652,0.769,0.938,0.652,0.769,0.739,0.739,0.739,0.85,0.739,0.791,0.85,0.739,0.791
SIR003_sl1000_mr05_nv10_19,0.833,0.676,0.746,0.967,0.784,0.866,0.967,0.784,0.866,0.763,0.784,0.773,0.743,0.703,0.722,0.97,0.865,0.914
SIR003_sl1000_mr05_nv10_2,1,0.667,0.8,0.917,0.733,0.815,0.917,0.733,0.815,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,1,0.222,0.364,0.375,0.333,0.353,0.375,0.333,0.353,0.444,0.444,0.444,0.667,0.222,0.333,0.8,0.444,0.571
SIR003_sl1000_mr05_nv10_3,1,0.6,0.75,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8,0.778,0.7,0.737,0.875,0.7,0.778
SIR003_sl1000_mr05_nv10_4,0.9,0.692,0.783,0.9,0.692,0.783,0.9,0.692,0.783,0.846,0.846,0.846,0.846,0.846,0.846,0.917,0.846,0.88
SIR003_sl1000_mr05_nv10_5,0.769,0.217,0.339,0.649,0.522,0.578,0.632,0.522,0.571,0.435,0.435,0.435,0.556,0.435,0.488,0.71,0.478,0.571
SIR003_sl1000_mr05_nv10_6,0.909,0.476,0.625,0.846,0.524,0.647,0.786,0.524,0.629,0.762,0.762,0.762,0.684,0.619,0.65,0.778,0.667,0.718
SIR003_sl1000_mr05_nv10_7,1,0.739,0.85,0.905,0.826,0.864,0.905,0.826,0.864,0.87,0.87,0.87,0.905,0.826,0.864,0.905,0.826,0.864
SIR003_sl1000_mr05_nv10_8,1,0.5,0.667,0.837,0.783,0.809,0.837,0.783,0.809,0.717,0.717,0.717,0.912,0.674,0.775,0.854,0.761,0.805
SIR003_sl1000_mr05_nv10_9,1,0.367,0.537,0.7,0.467,0.56,0.7,0.467,0.56,0.533,0.533,0.533,0.824,0.467,0.596,0.737,0.467,0.571
SIR003_sl1000_mr05_nv20_1,1,0.543,0.704,0.844,0.771,0.806,0.844,0.771,0.806,0.743,0.743,0.743,0.833,0.714,0.769,0.889,0.686,0.774
SIR003_sl1000_mr05_nv20_10,1,0.731,0.844,0.857,0.808,0.832,0.857,0.808,0.832,0.827,0.827,0.827,0.933,0.808,0.866,0.952,0.769,0.851
SIR003_sl1000_mr05_nv20_11,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,0.4,0.4,0.4,1,0.4,0.571,1,0.4,0.571
SIR003_sl1000_mr05_nv20_12,0.848,0.509,0.636,0.78,0.709,0.743,0.788,0.745,0.766,0.673,0.673,0.673,0.771,0.673,0.718,0.923,0.655,0.766
SIR003_sl1000_mr05_nv20_13,0.97,0.593,0.736,0.761,0.648,0.7,0.761,0.648,0.7,0.759,0.759,0.759,0.818,0.667,0.735,0.886,0.574,0.697
SIR003_sl1000_mr05_nv20_14,1,0.9,0.947,1,0.9,0.947,1,0.9,0.947,1,1,1,1,0.9,0.947,1,0.9,0.947
SIR003_sl1000_mr05_nv20_15,0.867,0.684,0.765,0.812,0.684,0.743,0.812,0.684,0.743,0.737,0.737,0.737,0.867,0.684,0.765,0.824,0.737,0.778
SIR003_sl1000_mr05_nv20_16,0.931,0.628,0.75,0.882,0.698,0.779,0.882,0.698,0.779,0.705,0.721,0.713,0.811,0.698,0.75,0.909,0.698,0.789
SIR003_sl1000_mr05_nv20_17,0.933,0.56,0.7,0.739,0.68,0.708,0.739,0.68,0.708,0.667,0.68,0.673,0.78,0.64,0.703,0.872,0.68,0.764
SIR003_sl1000_mr05_nv20_18,1,0.553,0.712,0.788,0.684,0.732,0.788,0.684,0.732,0.763,0.763,0.763,0.812,0.684,0.743,0.852,0.605,0.708
SIR003_sl1000_mr05_nv20_19,1,0.568,0.724,0.848,0.757,0.8,0.824,0.757,0.789,0.757,0.757,0.757,0.867,0.703,0.776,0.871,0.73,0.794
SIR003_sl1000_mr05_nv20_2,0.897,0.531,0.667,0.85,0.694,0.764,0.85,0.694,0.764,0.7,0.714,0.707,0.805,0.673,0.733,0.892,0.673,0.767
SIR003_sl1000_mr05_nv20_20,1,0.714,0.833,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,1,0.538,0.7,0.8,0.615,0.696,0.8,0.615,0.696,0.692,0.692,0.692,0.8,0.615,0.696,0.8,0.615,0.696
SIR003_sl1000_mr05_nv20_4,0.95,0.594,0.731,0.885,0.719,0.793,0.885,0.719,0.793,0.844,0.844,0.844,0.897,0.812,0.852,0.889,0.75,0.814
SIR003_sl1000_mr05_nv20_5,0.882,0.625,0.732,0.889,0.667,0.762,0.889,0.667,0.762,0.667,0.667,0.667,0.842,0.667,0.744,0.889,0.667,0.762
SIR003_sl1000_mr05_nv20_6,0.9,0.643,0.75,0.846,0.786,0.815,0.846,0.786,0.815,0.714,0.714,0.714,0.9,0.643,0.75,0.846,0.786,0.815
SIR003_sl1000_mr05_nv20_7,0.778,0.583,0.667,0.8,0.667,0.727,0.818,0.75,0.783,0.769,0.833,0.8,0.7,0.583,0.636,0.818,0.75,0.783
SIR003_sl1000_mr05_nv20_8,0.875,0.519,0.651,0.739,0.63,0.68,0.739,0.63,0.68,0.63,0.63,0.63,0.708,0.63,0.667,0.739,0.63,0.68
SIR003_sl1000_mr05_nv20_9,0.862,0.625,0.725,0.811,0.75,0.779,0.821,0.8,0.81,0.725,0.725,0.725,0.763,0.725,0.744,0.829,0.725,0.773
SIR003_sl1000_mr05_nv5_1,0.938,0.429,0.588,0.733,0.629,0.677,0.71,0.629,0.667,0.667,0.686,0.676,0.774,0.686,0.727,0.852,0.657,0.742
SIR003_sl1000_mr05_nv5_10,1,0.512,0.677,0.844,0.659,0.74,0.818,0.659,0.73,0.805,0.805,0.805,0.886,0.756,0.816,0.9,0.659,0.761
SIR003_sl1000_mr05_nv5_11,0.897,0.419,0.571,0.818,0.581,0.679,0.804,0.597,0.685,0.661,0.661,0.661,0.8,0.645,0.714,0.872,0.548,0.673
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,1,0.667,0.8,0.8,0.667,0.727,1,1,1,1,0.833,0.909,0.8,0.667,0.727
SIR003_sl1000_mr05_nv5_13,1,0.545,0.706,0.8,0.364,0.5,0.833,0.455,0.588,0.833,0.909,0.87,0.833,0.909,0.87,0.833,0.455,0.588
SIR003_sl1000_mr05_nv5_14,0.923,0.414,0.571,0.81,0.586,0.68,0.81,0.586,0.68,0.69,0.69,0.69,0.739,0.586,0.654,1,0.483,0.651
SIR003_sl1000_mr05_nv5_15,1,0.435,0.607,0.83,0.629,0.716,0.84,0.677,0.75,0.774,0.774,0.774,0.833,0.726,0.776,0.83,0.629,0.716
SIR003_sl1000_mr05_nv5_16,1,0.167,0.286,0.667,0.333,0.444,0.667,0.333,0.444,0.667,0.667,0.667,0.667,0.667,0.667,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,1,0.333,0.5,0.667,0.542,0.598,0.659,0.562,0.607,0.604,0.604,0.604,0.718,0.583,0.644,0.71,0.458,0.557
SIR003_sl1000_mr05_nv5_18,1,0.438,0.609,0.727,0.5,0.593,0.727,0.5,0.593,0.75,0.75,0.75,0.8,0.75,0.774,0.733,0.688,0.71
SIR003_sl1000_mr05_nv5_19,0.812,0.382,0.52,0.708,0.5,0.586,0.679,0.559,0.613,0.543,0.559,0.551,0.586,0.5,0.54,0.76,0.559,0.644
SIR003_sl1000_mr05_nv5_2,0.6,0.25,0.353,0.556,0.417,0.476,0.556,0.417,0.476,0.583,0.583,0.583,0.636,0.583,0.609,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,1,0.462,0.632,1,0.385,0.556,1,0.462,0.632,0.769,0.769,0.769,0.818,0.692,0.75,1,0.615,0.762
SIR003_sl1000_mr05_nv5_3,1,0.375,0.545,0.833,0.625,0.714,0.833,0.625,0.714,0.625,0.625,0.625,0.75,0.75,0.75,0.833,0.625,0.714
