dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR01_sl1000_mr025_nv5_14,0.824,0.7,0.757,0.905,0.95,0.927,0.818,0.9,0.857,0.762,0.8,0.78,0.933,0.7,0.8
SEIR01_sl1000_mr0125_nv10_9,0.968,0.638,0.769,0.885,0.979,0.929,0.979,0.979,0.979,0.977,0.894,0.933,0.976,0.872,0.921
SEIR01_sl1000_mr025_nv10_11,0.917,0.629,0.746,0.897,1.0,0.946,0.784,0.829,0.806,0.879,0.829,0.853,1.0,0.914,0.955
SEIR01_sl1000_mr025_nv10_13,0.667,0.2,0.308,0.857,0.9,0.878,0.762,0.8,0.78,0.842,0.8,0.821,0.895,0.85,0.872
SEIR01_sl500_mr025_nv10_10,0.667,0.429,0.522,0.625,0.714,0.667,0.714,0.714,0.714,0.714,0.714,0.714,0.75,0.643,0.692
SEIR01_sl1000_mr05_nv10_20,0.949,0.712,0.813,0.909,0.962,0.935,0.811,0.827,0.819,0.935,0.827,0.878,0.976,0.788,0.872
SEIR01_sl500_mr025_nv10_3,0.9,0.857,0.878,0.87,0.952,0.909,0.826,0.905,0.864,0.826,0.905,0.864,1.0,0.762,0.865
SEIR01_sl1000_mr025_nv10_17,0.897,0.578,0.703,0.759,0.911,0.828,0.644,0.644,0.644,0.763,0.644,0.699,0.914,0.711,0.8
SEIR01_sl250_mr025_nv10_5,0.667,0.585,0.623,0.796,0.951,0.867,0.562,0.659,0.607,0.622,0.683,0.651,0.897,0.634,0.743
SEIR01_sl500_mr025_nv10_5,1.0,0.6,0.75,0.571,0.8,0.667,0.571,0.8,0.667,0.8,0.8,0.8,1.0,0.2,0.333
SEIR01_sl250_mr025_nv10_17,0.3,0.375,0.333,0.625,0.625,0.625,0.286,0.5,0.364,0.333,0.5,0.4,0.5,0.25,0.333
SEIR01_sl1000_mr025_nv5_20,0.846,0.458,0.595,0.714,0.833,0.769,0.625,0.625,0.625,0.682,0.625,0.652,0.938,0.625,0.75
SEIR01_sl1000_mr0125_nv10_12,1.0,0.2,0.333,0.5,0.8,0.615,0.2,0.2,0.2,0.25,0.2,0.222,1.0,0.4,0.571
SEIR01_sl1000_mr025_nv5_13,1.0,0.75,0.857,0.786,0.917,0.846,0.917,0.917,0.917,0.917,0.917,0.917,1.0,0.75,0.857
SEIR01_sl250_mr025_nv10_20,0.857,0.667,0.75,0.7,0.778,0.737,0.684,0.722,0.703,0.722,0.722,0.722,0.909,0.556,0.69
SEIR01_sl1000_mr025_nv20_13,0.896,0.741,0.811,0.855,0.914,0.883,0.862,0.862,0.862,0.942,0.845,0.891,0.96,0.828,0.889
SEIR01_sl1000_mr05_nv10_14,0.923,0.615,0.738,0.809,0.974,0.884,0.725,0.744,0.734,0.914,0.821,0.865,1.0,0.641,0.781
SEIR01_sl1000_mr05_nv10_13,0.667,0.25,0.364,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl250_mr025_nv10_16,0.452,0.413,0.432,0.577,0.891,0.701,0.516,0.717,0.6,0.483,0.63,0.547,0.957,0.478,0.638
SEIR01_sl250_mr025_nv10_2,0.667,0.714,0.69,0.857,0.857,0.857,0.529,0.643,0.581,0.643,0.643,0.643,0.818,0.643,0.72
SEIR01_sl1000_mr0125_nv10_8,0.667,0.333,0.444,0.8,0.667,0.727,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv10_9,0.935,0.617,0.744,0.818,0.957,0.882,0.809,0.809,0.809,0.86,0.787,0.822,0.951,0.83,0.886
SEIR01_sl1000_mr0125_nv10_14,0.96,0.8,0.873,0.875,0.933,0.903,0.933,0.933,0.933,0.933,0.933,0.933,0.964,0.9,0.931
SEIR01_sl1000_mr025_nv5_18,0.862,0.532,0.658,0.796,0.915,0.851,0.766,0.766,0.766,0.886,0.66,0.756,0.921,0.745,0.824
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.889,0.889,0.889,0.778,0.778,0.778,0.778,0.778,0.778,0.875,0.778,0.824
SEIR01_sl500_mr025_nv10_19,0.6,0.75,0.667,0.857,0.75,0.8,0.5,0.625,0.556,0.556,0.625,0.588,0.857,0.75,0.8
SEIR01_sl1000_mr025_nv5_8,0.857,0.522,0.649,0.917,0.957,0.936,0.913,0.913,0.913,0.909,0.87,0.889,0.944,0.739,0.829
SEIR01_sl500_mr025_nv10_6,0.927,0.717,0.809,0.82,0.943,0.877,0.845,0.925,0.883,0.885,0.868,0.876,0.977,0.811,0.887
SEIR01_sl250_mr025_nv10_9,0.784,0.656,0.714,0.857,0.984,0.916,0.681,0.803,0.737,0.758,0.77,0.764,1.0,0.738,0.849
SEIR01_sl1000_mr0125_nv10_4,0.938,0.625,0.75,0.786,0.917,0.846,0.75,0.75,0.75,0.857,0.75,0.8,0.947,0.75,0.837
