dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SEIR015_sl1000_mr0125_nv10_1,29,3,44,66,0,7,60,16,13,58,5,15,56,0,17
SEIR015_sl1000_mr0125_nv10_10,9,2,10,16,0,3,15,4,4,15,1,4,14,1,5
SEIR015_sl1000_mr0125_nv10_11,5,1,8,9,0,4,9,4,4,9,2,4,10,0,3
SEIR015_sl1000_mr0125_nv10_12,4,0,10,9,0,5,12,2,2,11,2,3,10,0,4
SEIR015_sl1000_mr0125_nv10_13,26,1,24,47,1,3,45,5,5,41,1,9,44,1,6
SEIR015_sl1000_mr0125_nv10_14,32,9,20,39,1,13,44,15,8,41,12,11,41,1,11
SEIR015_sl1000_mr0125_nv10_15,13,4,32,29,1,16,31,16,14,23,16,22,25,1,20
SEIR015_sl1000_mr0125_nv10_16,40,12,23,37,1,26,48,23,15,48,14,15,49,0,14
SEIR015_sl1000_mr0125_nv10_17,15,5,11,18,0,8,19,13,7,17,9,9,22,1,4
SEIR015_sl1000_mr0125_nv10_18,5,3,5,7,0,3,8,4,2,7,3,3,8,0,2
SEIR015_sl1000_mr0125_nv10_19,15,2,16,17,0,14,16,16,15,18,3,13,19,1,12
SEIR015_sl1000_mr0125_nv10_2,9,1,7,11,1,5,10,7,6,10,2,6,12,1,4
SEIR015_sl1000_mr0125_nv10_20,26,2,15,34,0,7,35,8,6,31,2,10,35,1,6
SEIR015_sl1000_mr0125_nv10_3,5,2,4,6,0,3,8,3,1,8,2,1,9,0,0
SEIR015_sl1000_mr0125_nv10_4,6,0,4,7,0,3,8,2,2,8,0,2,8,0,2
SEIR015_sl1000_mr0125_nv10_5,11,5,40,47,1,4,32,19,19,21,6,30,17,2,34
SEIR015_sl1000_mr0125_nv10_6,12,2,23,28,0,7,29,8,6,25,3,10,27,1,8
SEIR015_sl1000_mr0125_nv10_7,28,8,40,52,0,16,61,15,7,46,10,22,46,0,22
SEIR015_sl1000_mr0125_nv10_8,7,2,11,14,0,4,11,9,7,9,3,9,12,0,6
SEIR015_sl1000_mr0125_nv10_9,5,5,16,11,0,10,9,14,12,9,9,12,11,3,10
SEIR015_sl1000_mr025_nv10_1,8,1,2,7,0,3,9,1,1,8,1,2,7,0,3
SEIR015_sl1000_mr025_nv10_10,1,1,10,4,1,7,10,1,1,10,1,1,7,2,4
SEIR015_sl1000_mr025_nv10_11,25,5,31,46,0,10,43,15,13,38,5,18,45,0,11
SEIR015_sl1000_mr025_nv10_12,5,1,5,1,0,9,7,6,3,9,3,1,6,0,4
SEIR015_sl1000_mr025_nv10_13,2,5,8,1,0,9,4,8,6,4,4,6,3,0,7
SEIR015_sl1000_mr025_nv10_14,9,2,16,17,3,8,19,10,6,20,9,5,19,2,6
SEIR015_sl1000_mr025_nv10_15,16,16,42,37,0,21,29,41,29,27,23,31,26,2,32
SEIR015_sl1000_mr025_nv10_16,10,6,4,8,0,6,11,5,3,11,5,3,10,0,4
SEIR015_sl1000_mr025_nv10_17,15,3,23,26,1,12,28,11,10,28,7,10,24,1,14
SEIR015_sl1000_mr025_nv10_18,18,5,19,25,0,12,26,17,11,25,10,12,30,0,7
SEIR015_sl1000_mr025_nv10_19,8,4,11,14,0,5,17,5,2,15,4,4,16,0,3
SEIR015_sl1000_mr025_nv10_2,19,7,37,49,1,7,38,22,18,41,6,15,44,2,12
SEIR015_sl1000_mr025_nv10_20,3,4,5,4,0,4,6,4,2,5,4,3,7,0,1
