dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SIR003_sl1000_mr1_nv10_1,8,0,9,13,3,4,13,3,4,12,5,5,11,3,6,13,2,4
SIR003_sl1000_mr1_nv10_10,5,3,6,6,2,5,6,2,5,5,6,6,5,3,6,7,2,4
SIR003_sl1000_mr1_nv10_11,6,0,4,6,2,4,6,2,4,7,3,3,7,2,3,6,2,4
SIR003_sl1000_mr1_nv10_12,12,1,15,12,5,15,14,5,13,16,13,11,15,7,12,15,4,12
SIR003_sl1000_mr1_nv10_13,1,4,5,4,1,2,4,1,2,1,5,5,1,5,5,4,1,2
SIR003_sl1000_mr1_nv10_14,20,1,16,27,6,9,27,6,9,27,9,9,25,6,11,26,3,10
SIR003_sl1000_mr1_nv10_15,4,2,7,7,2,4,7,3,4,7,4,4,7,4,4,9,2,2
SIR003_sl1000_mr1_nv10_16,10,3,10,10,2,10,10,2,10,11,10,9,10,3,10,10,2,10
SIR003_sl1000_mr1_nv10_17,17,2,15,20,1,12,21,1,11,24,8,8,24,8,8,21,1,11
SIR003_sl1000_mr1_nv10_18,15,0,18,19,5,14,19,5,14,24,9,9,24,5,9,22,4,11
SIR003_sl1000_mr1_nv10_19,31,0,33,39,15,25,39,15,25,42,22,22,37,11,27,38,10,26
SIR003_sl1000_mr1_nv10_2,27,5,36,39,16,24,41,17,22,44,20,19,40,13,23,37,9,26
SIR003_sl1000_mr1_nv10_20,36,2,33,46,10,23,48,10,21,45,24,24,44,12,25,43,6,26
SIR003_sl1000_mr1_nv10_3,14,1,9,18,2,5,19,2,4,17,6,6,16,4,7,19,2,4
SIR003_sl1000_mr1_nv10_4,18,0,11,21,4,8,21,4,8,21,8,8,20,5,9,22,1,7
SIR003_sl1000_mr1_nv10_5,5,0,4,4,0,5,4,0,5,5,4,4,5,0,4,4,0,5
SIR003_sl1000_mr1_nv10_6,17,0,13,20,7,10,20,7,10,22,8,8,19,1,11,21,3,9
SIR003_sl1000_mr1_nv10_7,5,0,3,6,2,2,6,2,2,5,3,3,5,1,3,6,0,2
SIR003_sl1000_mr1_nv10_8,21,1,14,21,9,14,22,11,13,25,10,10,25,2,10,22,4,13
SIR003_sl1000_mr1_nv10_9,6,0,3,5,0,4,5,0,4,8,1,1,6,3,3,5,0,4
SIR01_sl1000_mr15_nv10_10,18,2,14,17,5,15,18,5,14,24,8,8,21,4,11,19,3,13
SIR01_sl1000_mr15_nv10_11,6,0,6,6,0,6,6,0,6,8,4,4,7,1,5,7,0,5
SIR01_sl1000_mr15_nv10_12,9,0,15,13,4,11,13,4,11,17,7,7,16,3,8,13,4,11
SIR01_sl1000_mr15_nv10_14,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0
SIR01_sl1000_mr15_nv10_15,9,2,29,21,10,17,23,10,15,21,18,17,17,8,21,20,6,18
SIR01_sl1000_mr15_nv10_16,4,0,3,4,0,3,6,0,1,6,1,1,6,1,1,6,1,1
SIR01_sl1000_mr15_nv10_17,11,0,9,16,0,4,16,0,4,18,2,2,16,1,4,16,0,4
SIR01_sl1000_mr15_nv10_18,39,0,30,46,13,23,46,13,23,48,23,21,44,8,25,44,4,25
