dataset,phylo_tp,phylo_fp,phylo_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn
SEIR015_sl1000_mr0125_nv10_1,66,0,7,70,0,3,56,0,17
SEIR015_sl1000_mr0125_nv10_10,16,0,3,16,1,3,14,1,5
SEIR015_sl1000_mr0125_nv10_11,9,0,4,9,2,4,10,0,3
SEIR015_sl1000_mr0125_nv10_12,9,0,5,10,0,4,10,0,4
SEIR015_sl1000_mr0125_nv10_13,47,1,3,47,1,3,44,1,6
SEIR015_sl1000_mr0125_nv10_14,39,1,13,40,4,12,41,1,11
SEIR015_sl1000_mr0125_nv10_15,29,1,16,29,2,16,25,1,20
SEIR015_sl1000_mr0125_nv10_16,37,1,26,43,5,20,49,0,14
SEIR015_sl1000_mr0125_nv10_17,18,0,8,21,3,5,22,1,4
SEIR015_sl1000_mr0125_nv10_18,7,0,3,8,1,2,8,0,2
SEIR015_sl1000_mr0125_nv10_19,17,0,14,19,1,12,19,1,12
SEIR015_sl1000_mr0125_nv10_2,11,1,5,11,2,5,12,1,4
SEIR015_sl1000_mr0125_nv10_20,34,0,7,39,0,2,35,1,6
SEIR015_sl1000_mr0125_nv10_3,6,0,3,6,2,3,9,0,0
SEIR015_sl1000_mr0125_nv10_4,7,0,3,8,0,2,8,0,2
SEIR015_sl1000_mr0125_nv10_5,47,1,4,47,1,4,17,2,34
SEIR015_sl1000_mr0125_nv10_6,28,0,7,28,1,7,27,1,8
SEIR015_sl1000_mr0125_nv10_7,52,0,16,62,0,6,46,0,22
SEIR015_sl1000_mr0125_nv10_8,14,0,4,14,1,4,12,0,6
SEIR015_sl1000_mr0125_nv10_9,11,0,10,14,1,7,11,3,10
SEIR015_sl1000_mr025_nv10_1,7,0,3,7,1,3,7,0,3
SEIR015_sl1000_mr025_nv10_10,4,1,7,4,2,7,7,2,4
SEIR015_sl1000_mr025_nv10_11,46,0,10,48,1,8,45,0,11
SEIR015_sl1000_mr025_nv10_12,1,0,9,3,2,7,6,0,4
SEIR015_sl1000_mr025_nv10_13,1,0,9,2,3,8,3,0,7
SEIR015_sl1000_mr025_nv10_14,17,3,8,18,5,7,19,2,6
SEIR015_sl1000_mr025_nv10_15,37,0,21,43,5,15,26,2,32
SEIR015_sl1000_mr025_nv10_16,8,0,6,8,0,6,10,0,4
SEIR015_sl1000_mr025_nv10_17,26,1,12,27,2,11,24,1,14
SEIR015_sl1000_mr025_nv10_18,25,0,12,26,5,11,30,0,7
SEIR015_sl1000_mr025_nv10_19,14,0,5,18,0,1,16,0,3
SEIR015_sl1000_mr025_nv10_2,49,1,7,54,1,2,44,2,12
SEIR015_sl1000_mr025_nv10_20,4,0,4,5,1,3,7,0,1
SEIR015_sl1000_mr025_nv10_3,36,0,10,41,1,5,42,1,4
SEIR015_sl1000_mr025_nv10_4,35,0,9,36,2,8,31,2,13
SEIR015_sl1000_mr025_nv10_5,44,0,4,46,1,2,37,1,11
SEIR015_sl1000_mr025_nv10_6,42,2,4,42,3,4,38,3,8
SEIR015_sl1000_mr025_nv10_7,5,1,4,5,1,4,8,1,1
SEIR015_sl1000_mr025_nv10_8,14,0,6,14,4,6,15,0,5
SEIR015_sl1000_mr025_nv10_9,48,0,8,49,3,7,45,1,11
SEIR015_sl1000_mr025_nv20_1,9,0,6,11,0,4,11,0,4
SEIR015_sl1000_mr025_nv20_10,2,0,7,5,1,4,7,0,2
SEIR015_sl1000_mr025_nv20_11,9,0,4,9,2,4,12,1,1
SEIR015_sl1000_mr025_nv20_12,12,1,8,14,4,6,14,1,6
SEIR015_sl1000_mr025_nv20_13,5,1,4,6,2,3,8,1,1
SEIR015_sl1000_mr025_nv20_14,21,1,1,21,1,1,19,1,3
SEIR015_sl1000_mr025_nv20_15,9,0,15,17,3,7,14,0,10
SEIR015_sl1000_mr025_nv20_16,26,3,4,27,3,3,27,3,3
SEIR015_sl1000_mr025_nv20_17,49,0,7,50,3,6,46,0,10
SEIR015_sl1000_mr025_nv20_18,24,0,15,29,5,10,32,0,7
SEIR015_sl1000_mr025_nv20_19,6,0,5,8,2,3,9,1,2
SEIR015_sl1000_mr025_nv20_2,15,0,10,20,2,5,23,0,2
SEIR015_sl1000_mr025_nv20_20,11,2,8,12,3,7,14,3,5
SEIR015_sl1000_mr025_nv20_3,47,0,19,55,2,11,45,0,21
SEIR015_sl1000_mr025_nv20_4,27,0,6,28,2,5,21,1,12
SEIR015_sl1000_mr025_nv20_5,38,0,1,38,0,1,34,1,5
SEIR015_sl1000_mr025_nv20_6,26,1,12,26,6,12,35,1,3
