dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SEIR015_sl250_mr025_nv10_1,0.478,0.647,0.55,0.8,0.235,0.364,0.667,0.588,0.625,0.538,0.824,0.651,0.538,0.824,0.651,0.929,0.765,0.839
SEIR015_sl250_mr025_nv10_10,0.4,0.305,0.346,1,0.542,0.703,0.92,0.78,0.844,0.39,0.542,0.454,0.435,0.458,0.446,1,0.61,0.758
SEIR015_sl250_mr025_nv10_11,0.56,0.412,0.475,0.727,0.235,0.356,0.478,0.324,0.386,0.455,0.588,0.513,0.486,0.529,0.507,0.875,0.412,0.56
SEIR015_sl250_mr025_nv10_12,0.611,0.512,0.557,1,0.395,0.567,0.69,0.465,0.556,0.382,0.674,0.487,0.46,0.674,0.547,0.92,0.535,0.676
SEIR015_sl250_mr025_nv10_13,0.909,0.625,0.741,1,0.625,0.769,0.909,0.625,0.741,0.647,0.688,0.667,0.688,0.688,0.688,1,0.688,0.815
SEIR015_sl250_mr025_nv10_14,0.308,0.32,0.314,1,0.12,0.214,0.429,0.36,0.391,0.318,0.56,0.406,0.351,0.52,0.419,0.941,0.64,0.762
SEIR015_sl250_mr025_nv10_15,0.756,0.694,0.723,0.958,0.469,0.63,0.841,0.755,0.796,0.755,0.816,0.784,0.76,0.776,0.768,0.914,0.653,0.762
SEIR015_sl250_mr025_nv10_16,0.175,0.259,0.209,0.667,0.148,0.242,0.733,0.407,0.524,0.15,0.333,0.207,0.167,0.296,0.213,0.727,0.296,0.421
SEIR015_sl250_mr025_nv10_17,0.6,0.25,0.353,1,0.083,0.154,1,0.25,0.4,0.692,0.75,0.72,0.455,0.417,0.435,1,0.25,0.4
SEIR015_sl250_mr025_nv10_18,0.222,0.182,0.2,0,0,0,0.667,0.545,0.6,0.471,0.727,0.571,0.471,0.727,0.571,0,0,0
SEIR015_sl250_mr025_nv10_19,0.389,0.189,0.255,1,0.378,0.549,0.917,0.595,0.721,0.535,0.622,0.575,0.6,0.486,0.537,1,0.459,0.63
SEIR015_sl250_mr025_nv10_2,0.25,0.182,0.211,1,0.136,0.24,0.846,0.5,0.629,0.29,0.409,0.34,0.167,0.182,0.174,0.857,0.273,0.414
SEIR015_sl250_mr025_nv10_20,0.654,0.515,0.576,1,0.424,0.596,0.893,0.758,0.82,0.61,0.758,0.676,0.684,0.788,0.732,0.929,0.788,0.852
SEIR015_sl250_mr025_nv10_3,0.462,0.4,0.429,0,0,0,0,0,0,0.545,0.8,0.649,0.571,0.8,0.667,0.6,0.2,0.3
SEIR015_sl250_mr025_nv10_4,0.81,0.68,0.739,1,0.4,0.571,0.75,0.6,0.667,0.692,0.72,0.706,0.692,0.72,0.706,0.889,0.64,0.744
SEIR015_sl250_mr025_nv10_5,0.8,0.5,0.615,1,0.125,0.222,0.5,0.125,0.2,0.556,0.625,0.588,0.556,0.625,0.588,1,0.5,0.667
SEIR015_sl250_mr025_nv10_6,0.556,0.429,0.484,1,0.486,0.654,0.655,0.543,0.594,0.667,0.743,0.703,0.684,0.743,0.712,0.923,0.686,0.787
SEIR015_sl250_mr025_nv10_7,0.5,0.5,0.5,1,0.375,0.545,0.556,0.625,0.588,0.333,0.375,0.353,0.333,0.375,0.353,0.833,0.625,0.714
SEIR015_sl250_mr025_nv10_8,0.8,0.444,0.571,1,0.667,0.8,0.905,0.704,0.792,0.724,0.778,0.75,0.76,0.704,0.731,1,0.741,0.851
SEIR015_sl250_mr025_nv10_9,0.444,0.267,0.333,0.857,0.4,0.545,0.533,0.533,0.533,0.417,0.667,0.513,0.611,0.733,0.667,0.8,0.533,0.64
SEIR01_sl250_mr025_nv10_1,0.649,0.533,0.585,1,0.578,0.732,0.912,0.689,0.785,0.561,0.711,0.627,0.635,0.733,0.68,0.917,0.733,0.815
SEIR01_sl250_mr025_nv10_10,0.688,0.647,0.667,1,0.471,0.64,0.846,0.647,0.733,0.737,0.824,0.778,0.737,0.824,0.778,0.846,0.647,0.733
SEIR01_sl250_mr025_nv10_11,0.667,0.5,0.571,0.857,0.375,0.522,0.8,0.75,0.774,0.65,0.812,0.722,0.765,0.812,0.788,0.846,0.688,0.759
SEIR01_sl250_mr025_nv10_12,0.778,0.651,0.709,0.939,0.721,0.816,0.833,0.814,0.824,0.792,0.884,0.835,0.825,0.767,0.795,1,0.837,0.911
SEIR01_sl250_mr025_nv10_13,0.5,0.333,0.4,0.5,0.167,0.25,0.5,0.333,0.4,0.571,0.667,0.615,0.5,0.5,0.5,0.6,0.5,0.545
SEIR01_sl250_mr025_nv10_14,0.59,0.5,0.541,0.926,0.543,0.685,0.711,0.587,0.643,0.451,0.5,0.474,0.561,0.5,0.529,0.8,0.609,0.691
SEIR01_sl250_mr025_nv10_15,0.6,0.857,0.706,1,0.286,0.444,1,0.857,0.923,0.7,1,0.824,0.6,0.857,0.706,0.857,0.857,0.857
SEIR01_sl250_mr025_nv10_16,0.452,0.413,0.432,0.957,0.478,0.638,0.868,0.717,0.786,0.516,0.717,0.6,0.483,0.63,0.547,0.941,0.696,0.8
SEIR01_sl250_mr025_nv10_17,0.3,0.375,0.333,1,0.125,0.222,0.625,0.625,0.625,0.286,0.5,0.364,0.333,0.5,0.4,0.75,0.75,0.75
SEIR01_sl250_mr025_nv10_18,0.786,0.688,0.733,1,0.531,0.694,0.926,0.781,0.847,0.694,0.781,0.735,0.75,0.656,0.7,1,0.844,0.915
SEIR01_sl250_mr025_nv10_19,0.875,0.583,0.7,1,0.583,0.737,0.889,0.667,0.762,0.714,0.833,0.769,0.714,0.833,0.769,0.9,0.75,0.818
SEIR01_sl250_mr025_nv10_2,0.667,0.714,0.69,1,0.357,0.526,0.667,0.429,0.522,0.529,0.643,0.581,0.643,0.643,0.643,0.846,0.786,0.815
SEIR01_sl250_mr025_nv10_20,0.857,0.667,0.75,1,0.444,0.615,0.933,0.778,0.848,0.684,0.722,0.703,0.722,0.722,0.722,0.875,0.778,0.824
SEIR01_sl250_mr025_nv10_3,0.654,0.63,0.642,1,0.778,0.875,0.852,0.852,0.852,0.667,0.815,0.733,0.667,0.815,0.733,0.885,0.852,0.868
SEIR01_sl250_mr025_nv10_4,0.818,0.643,0.72,1,0.643,0.783,0.917,0.786,0.846,0.812,0.929,0.867,0.812,0.929,0.867,1,0.857,0.923
SEIR01_sl250_mr025_nv10_5,0.667,0.585,0.623,0.962,0.61,0.746,0.806,0.707,0.753,0.562,0.659,0.607,0.622,0.683,0.651,0.846,0.805,0.825
SEIR01_sl250_mr025_nv10_6,0.526,0.455,0.488,0.818,0.409,0.545,0.56,0.636,0.596,0.5,0.636,0.56,0.577,0.682,0.625,0.789,0.682,0.732
SEIR01_sl250_mr025_nv10_7,0.733,0.786,0.759,0.857,0.429,0.571,0.692,0.643,0.667,0.706,0.857,0.774,0.706,0.857,0.774,0.923,0.857,0.889
SEIR01_sl250_mr025_nv10_8,0.676,0.735,0.704,1,0.5,0.667,0.846,0.647,0.733,0.605,0.765,0.675,0.619,0.765,0.684,1,0.735,0.847
SEIR01_sl250_mr025_nv10_9,0.784,0.656,0.714,1,0.852,0.92,0.932,0.902,0.917,0.681,0.803,0.737,0.758,0.77,0.764,1,0.885,0.939
SIR003_sl250_mr05_nv10_1,0.68,0.531,0.596,0.762,0.5,0.604,0.762,0.5,0.604,0.556,0.625,0.588,0.559,0.594,0.576,0.704,0.594,0.644
SIR003_sl250_mr05_nv10_10,0.692,0.474,0.562,0.727,0.421,0.533,0.812,0.684,0.743,0.524,0.579,0.55,0.55,0.579,0.564,0.812,0.684,0.743
SIR003_sl250_mr05_nv10_11,0.429,0.25,0.316,1,0.25,0.4,0.714,0.417,0.526,0.467,0.583,0.519,0.429,0.25,0.316,0.571,0.333,0.421
SIR003_sl250_mr05_nv10_12,0.75,0.462,0.571,0.857,0.462,0.6,0.818,0.692,0.75,0.571,0.615,0.593,0.583,0.538,0.56,0.875,0.538,0.667
SIR003_sl250_mr05_nv10_13,0,0,0,1,0.143,0.25,1,0.286,0.444,0.125,0.143,0.133,0.2,0.143,0.167,0,0,0
SIR003_sl250_mr05_nv10_14,0.8,0.5,0.615,1,0.625,0.769,0.857,0.75,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_15,1,0.5,0.667,1,0.25,0.4,0.667,0.25,0.364,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_16,0.714,0.455,0.556,0.833,0.455,0.588,0.875,0.636,0.737,0.5,0.545,0.522,0.6,0.545,0.571,0.889,0.727,0.8
SIR003_sl250_mr05_nv10_17,0.714,0.556,0.625,0.786,0.489,0.603,0.757,0.622,0.683,0.625,0.667,0.645,0.643,0.6,0.621,0.909,0.667,0.769
SIR003_sl250_mr05_nv10_18,0.765,0.481,0.591,0.875,0.259,0.4,0.889,0.593,0.711,0.63,0.63,0.63,0.739,0.63,0.68,0.765,0.481,0.591
SIR003_sl250_mr05_nv10_19,0.5,0.24,0.324,0.571,0.32,0.41,0.571,0.32,0.41,0.333,0.4,0.364,0.28,0.28,0.28,0.615,0.32,0.421
SIR003_sl250_mr05_nv10_2,0.625,0.714,0.667,1,0.857,0.923,1,0.857,0.923,0.714,0.714,0.714,0.75,0.643,0.692,1,0.929,0.963
SIR003_sl250_mr05_nv10_20,0.615,0.39,0.478,0.889,0.39,0.542,0.852,0.561,0.676,0.565,0.634,0.598,0.59,0.561,0.575,0.87,0.488,0.625
SIR003_sl250_mr05_nv10_3,0.875,0.636,0.737,0.875,0.636,0.737,0.882,0.682,0.769,0.818,0.818,0.818,0.85,0.773,0.81,0.9,0.818,0.857
SIR003_sl250_mr05_nv10_4,0.889,0.667,0.762,0.8,0.333,0.471,0.8,0.667,0.727,0.769,0.833,0.8,0.769,0.833,0.8,0.8,0.667,0.727
SIR003_sl250_mr05_nv10_5,0.737,0.636,0.683,0.923,0.545,0.686,0.867,0.591,0.703,0.773,0.773,0.773,0.696,0.727,0.711,0.875,0.636,0.737
SIR003_sl250_mr05_nv10_6,0.783,0.545,0.643,0.9,0.545,0.679,0.84,0.636,0.724,0.735,0.758,0.746,0.733,0.667,0.698,0.826,0.576,0.679
SIR003_sl250_mr05_nv10_7,0.6,0.391,0.474,0.8,0.435,0.563,0.781,0.543,0.641,0.444,0.522,0.48,0.49,0.522,0.505,0.786,0.478,0.595
SIR003_sl250_mr05_nv10_8,0.778,0.412,0.538,0.875,0.412,0.56,0.909,0.588,0.714,0.556,0.588,0.571,0.556,0.588,0.571,0.846,0.647,0.733
SIR003_sl250_mr05_nv10_9,0.6,0.333,0.429,0.5,0.111,0.182,0.5,0.222,0.308,0.364,0.444,0.4,0.429,0.333,0.375,0.6,0.333,0.429
SIR01_sl250_mr15_nv10_1,0.615,0.471,0.533,1,0.412,0.583,0.9,0.529,0.667,0.526,0.588,0.556,0.692,0.529,0.6,1,0.529,0.692
SIR01_sl250_mr15_nv10_10,0.622,0.5,0.554,0.923,0.429,0.585,0.829,0.607,0.701,0.469,0.536,0.5,0.577,0.536,0.556,0.935,0.518,0.667
SIR01_sl250_mr15_nv10_11,0.688,0.458,0.55,0.917,0.458,0.611,0.875,0.583,0.7,0.462,0.5,0.48,0.522,0.5,0.511,0.722,0.542,0.619
SIR01_sl250_mr15_nv10_12,0.571,0.421,0.485,0.857,0.632,0.727,0.8,0.632,0.706,0.542,0.684,0.605,0.579,0.579,0.579,0.857,0.632,0.727
SIR01_sl250_mr15_nv10_13,0.667,0.308,0.421,1,0.538,0.7,0.75,0.692,0.72,0.438,0.538,0.483,0.5,0.462,0.48,0.818,0.692,0.75
SIR01_sl250_mr15_nv10_14,0.545,0.4,0.462,0.857,0.4,0.545,0.8,0.533,0.64,0.368,0.467,0.412,0.389,0.467,0.424,0.917,0.733,0.815
SIR01_sl250_mr15_nv10_15,0.667,0.25,0.364,1,0.25,0.4,1,0.5,0.667,0.4,0.5,0.444,0.667,0.25,0.364,1,0.5,0.667
SIR01_sl250_mr15_nv10_16,0.688,0.478,0.564,1,0.565,0.722,0.882,0.652,0.75,0.577,0.652,0.612,0.52,0.565,0.542,1,0.609,0.757
SIR01_sl250_mr15_nv10_17,0.875,1,0.933,1,0.429,0.6,1,0.714,0.833,0.857,0.857,0.857,0.857,0.857,0.857,1,0.857,0.923
SIR01_sl250_mr15_nv10_18,0.5,0.4,0.444,0.7,0.35,0.467,0.714,0.5,0.588,0.5,0.65,0.565,0.545,0.6,0.571,0.75,0.45,0.563
SIR01_sl250_mr15_nv10_19,0.8,0.571,0.667,1,0.571,0.727,1,0.714,0.833,0.75,0.857,0.8,0.75,0.857,0.8,0.833,0.714,0.769
SIR01_sl250_mr15_nv10_2,0.545,0.667,0.6,1,0.444,0.615,0.833,0.556,0.667,0.545,0.667,0.6,0.667,0.667,0.667,0.857,0.667,0.75
SIR01_sl250_mr15_nv10_20,0.6,0.429,0.5,1,0.286,0.444,1,0.571,0.727,0.444,0.571,0.5,0.429,0.429,0.429,1,0.429,0.6
SIR01_sl250_mr15_nv10_3,0.818,0.643,0.72,1,0.357,0.526,0.75,0.429,0.545,0.588,0.714,0.645,0.714,0.714,0.714,1,0.571,0.727
SIR01_sl250_mr15_nv10_4,0.545,0.5,0.522,0.667,0.333,0.444,0.667,0.333,0.444,0.538,0.583,0.56,0.5,0.5,0.5,0.667,0.5,0.571
SIR01_sl250_mr15_nv10_5,0.714,0.556,0.625,1,0.556,0.714,1,0.667,0.8,0.8,0.889,0.842,0.8,0.889,0.842,0.857,0.667,0.75
SIR01_sl250_mr15_nv10_6,0.536,0.349,0.423,0.929,0.302,0.456,0.769,0.465,0.58,0.44,0.512,0.473,0.5,0.395,0.442,0.952,0.465,0.625
SIR01_sl250_mr15_nv10_7,0.8,0.488,0.606,0.824,0.341,0.483,0.8,0.488,0.606,0.617,0.707,0.659,0.706,0.585,0.64,0.875,0.512,0.646
SIR01_sl250_mr15_nv10_8,0.667,0.222,0.333,0.8,0.444,0.571,0.8,0.444,0.571,0.556,0.556,0.556,0.667,0.444,0.533,1,0.556,0.714
SIR01_sl250_mr15_nv10_9,0.571,0.4,0.471,1,0.3,0.462,0.8,0.4,0.533,0.286,0.4,0.333,0.5,0.4,0.444,1,0.4,0.571
AVG,0.6316375,0.4868375,0.5407375,0.8909,0.411975,0.5453875,0.789075,0.5754375,0.655975,0.562275,0.6622625,0.60555,0.595625,0.6149875,0.5994875,0.850825,0.606575,0.6972125
