dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR01_sl1000_mr075_nv10_1,0.97,0.561,0.711,0.867,0.684,0.765,0.87,0.702,0.777,0.825,0.825,0.825,0.865,0.789,0.826,0.915,0.754,0.827
SIR01_sl1000_mr075_nv10_10,1,0.5,0.667,1,0.875,0.933,1,0.875,0.933,0.75,0.75,0.75,0.833,0.625,0.714,1,1,1
SIR01_sl1000_mr075_nv10_11,1,0.714,0.833,1,0.714,0.833,1,0.714,0.833,1,1,1,1,1,1,1,0.857,0.923
SIR01_sl1000_mr075_nv10_12,0.95,0.633,0.76,1,0.6,0.75,1,0.6,0.75,0.833,0.833,0.833,0.926,0.833,0.877,0.962,0.833,0.893
SIR01_sl1000_mr075_nv10_13,1,0.286,0.444,0.6,0.429,0.5,0.6,0.429,0.5,0.643,0.643,0.643,0.778,0.5,0.609,1,0.429,0.6
SIR01_sl1000_mr075_nv10_14,1,0.571,0.727,0.8,0.571,0.667,0.8,0.571,0.667,0.571,0.571,0.571,0.571,0.571,0.571,0.833,0.714,0.769
SIR01_sl1000_mr075_nv10_15,1,0.667,0.8,1,0.5,0.667,1,0.5,0.667,0.833,0.833,0.833,0.833,0.833,0.833,1,0.667,0.8
SIR01_sl1000_mr075_nv10_16,0.909,0.556,0.69,0.769,0.556,0.645,0.667,0.556,0.606,0.842,0.889,0.865,0.842,0.889,0.865,0.778,0.778,0.778
SIR01_sl1000_mr075_nv10_17,0.941,0.451,0.61,0.78,0.549,0.645,0.765,0.549,0.639,0.722,0.732,0.727,0.804,0.577,0.672,0.949,0.521,0.673
SIR01_sl1000_mr075_nv10_18,1,0.818,0.9,0.9,0.818,0.857,0.9,0.818,0.857,0.909,0.909,0.909,0.818,0.818,0.818,0.9,0.818,0.857
SIR01_sl1000_mr075_nv10_19,1,0.273,0.429,0.429,0.273,0.333,0.429,0.273,0.333,0.364,0.364,0.364,0.8,0.364,0.5,0.667,0.182,0.286
SIR01_sl1000_mr075_nv10_2,1,0.545,0.706,1,0.455,0.625,1,0.455,0.625,0.545,0.545,0.545,0.857,0.545,0.667,0.875,0.636,0.737
SIR01_sl1000_mr075_nv10_20,0.938,0.5,0.652,0.643,0.6,0.621,0.643,0.6,0.621,0.562,0.6,0.581,0.731,0.633,0.679,0.8,0.667,0.727
SIR01_sl1000_mr075_nv10_3,1,0.364,0.533,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.625,0.455,0.526,0.833,0.455,0.588
SIR01_sl1000_mr075_nv10_4,0.9,0.474,0.621,0.897,0.684,0.776,0.897,0.684,0.776,0.795,0.816,0.805,0.784,0.763,0.773,0.919,0.895,0.907
SIR01_sl1000_mr075_nv10_5,0.95,0.594,0.731,0.893,0.781,0.833,0.893,0.781,0.833,0.727,0.75,0.738,0.92,0.719,0.807,0.923,0.75,0.828
SIR01_sl1000_mr075_nv10_6,1,0.25,0.4,0.667,0.25,0.364,0.667,0.25,0.364,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,1,0.625,0.769,0.957,0.917,0.936,0.957,0.917,0.936,0.833,0.833,0.833,0.87,0.833,0.851,0.957,0.917,0.936
SIR01_sl1000_mr075_nv10_8,1,0.438,0.609,0.909,0.625,0.741,0.909,0.625,0.741,0.625,0.625,0.625,0.818,0.562,0.667,0.909,0.625,0.741
SIR01_sl1000_mr075_nv10_9,1,0.519,0.683,0.75,0.556,0.638,0.714,0.556,0.625,0.667,0.667,0.667,0.85,0.63,0.723,0.842,0.593,0.696
SIR01_sl1000_mr15_nv10_10,0.9,0.562,0.692,0.773,0.531,0.63,0.783,0.562,0.655,0.75,0.75,0.75,0.84,0.656,0.737,0.864,0.594,0.704
SIR01_sl1000_mr15_nv10_11,1,0.5,0.667,1,0.5,0.667,1,0.5,0.667,0.667,0.667,0.667,0.875,0.583,0.7,1,0.583,0.737
SIR01_sl1000_mr15_nv10_12,1,0.375,0.545,0.765,0.542,0.634,0.765,0.542,0.634,0.708,0.708,0.708,0.842,0.667,0.744,0.765,0.542,0.634
SIR01_sl1000_mr15_nv10_14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_15,0.818,0.237,0.367,0.677,0.553,0.609,0.697,0.605,0.648,0.538,0.553,0.545,0.68,0.447,0.54,0.769,0.526,0.625
SIR01_sl1000_mr15_nv10_16,1,0.571,0.727,1,0.571,0.727,1,0.857,0.923,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl1000_mr15_nv10_17,1,0.55,0.71,1,0.8,0.889,1,0.8,0.889,0.9,0.9,0.9,0.941,0.8,0.865,1,0.8,0.889
SIR01_sl1000_mr15_nv10_18,1,0.565,0.722,0.78,0.667,0.719,0.78,0.667,0.719,0.676,0.696,0.686,0.846,0.638,0.727,0.917,0.638,0.752
SIR01_sl1000_mr15_nv10_19,1,0.667,0.8,1,0.667,0.8,1,0.667,0.8,0.889,0.889,0.889,0.889,0.889,0.889,1,0.889,0.941
