unique.split,parent.split,host,parent.host
33-SPLIT1,unassigned_region-SPLIT1,33,unassigned_region
33-SPLIT2,unassigned_region-SPLIT1,33,unassigned_region
112,unassigned_region-SPLIT1,112,unassigned_region
76,unassigned_region-SPLIT2,76,unassigned_region
916,76,916,76
165,916,165,916
154,165,154,165
599,76,599,76
59,unassigned_region-SPLIT2,59,unassigned_region
271,unassigned_region-SPLIT2,271,unassigned_region
199,112,199,112
709,199,709,199
230,unassigned_region-SPLIT1,230,unassigned_region
159,230,159,230
895,159,895,159
691,unassigned_region-SPLIT1,691,unassigned_region
247,691,247,691
596,unassigned_region-SPLIT1,596,unassigned_region
179,unassigned_region-SPLIT3,179,unassigned_region
291,unassigned_region-SPLIT3,291,unassigned_region
796,unassigned_region-SPLIT3,796,unassigned_region
26,unassigned_region-SPLIT3,26,unassigned_region
881,unassigned_region-SPLIT3,881,unassigned_region
57,596,57,596
542,unassigned_region-SPLIT1,542,unassigned_region
328,542,328,542
205,328,205,328
703,205,703,205
50,unassigned_region-SPLIT4,50,unassigned_region
908,50,908,50
615,50,615,50
79,unassigned_region-SPLIT4,79,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,112,unassigned_region,112
unassigned_region-SPLIT3,596,unassigned_region,596
unassigned_region-SPLIT4,542,unassigned_region,542
